chest,lung,brain,abdominal,artery,lobe,liver,abdomen
ct scan showing retroperitoneal gas arising from gluteal region extending up to chest.,,,abdominal ct reveals a voluminous lesion in pancreatic head and body (arrow).,superior mesenteric artery angiography showing the presence of marginal artery of drummond.,,,
ct scan of chest with pleuropericardial effusion,,,gammagraphic study with red blood cells and tc99m with image of abdominal computed tomography overlapped.,tte image: short axis of great vessels showing occlusion of left pulmonary artery with thrombus that embolized from right ventricle,,,
cat-scratch disease: normal chest x-ray.,,,une radiographie thoraco-abdominal post natale objectivant une distention grélique,"angiogram showing the pseudoaneurysm was detected in profunda branch of femoris artery and periprosthetic destructive area.abbreviation: l, left.",,,
ct chest with contrast showing the origin of the aberrant right subclavian artery (red arrow) causing extrinsic compression of the esophagus.,,,"abdominal/pelvic ct showing cholelithiasis, choledocholithiasis, intra- and extrahepatic biliary ductal dilatation.",selective angiography shows the multiple aneurysms along splenic artery.,,,
chest x-ray after pacemaker implantation.,,,contrast-enhanced abdominal tomography showed gas in the bladder wall and an air-fluid level within the lumen of the bladder.,computed tomography angiogram showing occlusion of superior mesenteric artery (arrow),,,
chest roentgenogram showing cardiomegaly and right pleural effusion.,,,plain abdominal x-ray showing distended small bowel loops and right sub-diaphragmatic shadow with air fluid levels from trapped bowel.,"axial 3d time of flight mri of the head, noting absence of the carotid canal and internal carotid artery at the skull base (oval). for comparison, note the right-sided internal carotid artery (arrow) at the skull base.",,,
flourine-18-flourodeoxy glucose (f-18 fdg) positron emission tomography/computed tomography maximum intensity projection image showing increased tracer uptake in the chest (curved arrow) corresponding to the primary tumor in the right lung. multiple flourodeoxy glucose avid foci are also seen bilaterally in the neck (arrows),,,complication of penetrating disease: patient with local perforation due to penetrating crohn’s disease of the proximal colon—a thick walled air-containing cavity is seen extending into the anterior abdominal wall (arrows),t2 magnetic resonance imaging (mri) demonstrating flow void in the distal left vertebral artery (arrow) concerning for vertebral artery dissection.,,,
a chest x-ray taken 20 minutes after extubation. a chest x-ray film taken twenty minutes after extubation shows a massive hemothorax in the left lung field.,,,"male, 47-year old, blunt abdominal trauma. subsegmental infarction. ct: wedge-shaped area of decreased attenuation in the interpolar region of the right kidney (arrow).",hyper-enhancement of the bowel mucosa. axial contrast-enhanced ct image demonstrates hyper-enhancement of the right lower quadrant ileal mucosa (arrow) secondary to superior mesenteric artery occlusion (not shown). the degree of mucosal enhancement can be compared to left-sided bowel loops as an internal control,,,
"26-year-old female with chest pain and breathlessness diagnosed with pleural and peritoneal mesothelioma. post-contrast ct scan axial view shows soft-tissue attenuation pleural mass lesion completely encasing the right lung which shows consolidation collapse. right lateral chest wall shows loss of extra pleural fat plane (horizontal arrow). however, no definite invasion of intercostal muscles is seen.",,,abdominal ct sowing the huge renal tumor.,"coronal multiplanar reformations image shows anterior ethmoidal canal (arrows) through anterior ethmoidal cells, which corresponds to anterior ethmoid artery in its ethmoidal route.",,,
non-contrast ct scan of the chest axial image showing pneumomediastinum (solid arrows),,,preoperative abdominal x-ray showed no abnormal features,working view of the left vertebral artery angiogram showing the aneurysm at the basilar tip prior to endovascular intervention.,,,
chest hrct of patient a: increasing opacity in the left native lung replacing the fibrotic lesions and noduli and ground glass opacities in the transplant lung.,,,"abdominal contrast-enhanced ct, axial plane. stented common bile duct is intimately close to the portal vein causing its minor compression.",left pneumopericardium (solid white arrow). note that the jvp line is also falling short of the svc (hollow white arrow). the tip of swan-ganz catheter lies within the right main pulmonary artery,,,
chest x-ray 3 days after conversion to sirolimus,,,lateral plain abdominal x-ray showing multiple twists of the connecting wires adjacent to the ipg,angiography of the right coronary artery in lao projection. spacial relations between ultrasound transducer located in subcostal position and the middle segment of the right coronary artery (encircled in red) are shown,,,
"plain chest computed tomography of case 3. consolidation with an air bronchogram and interlobular ground glass opacity, which suggest a pattern of organizing pneumonia.",,,axial abdominal magnetic resonance imaging cut of patient,"doppler of umbilical artery showing an increase in systolic/diastolic ratio (3.54) at the time of diagnosis of intrauterine growth restriction and starting sildenafil citrate.abbreviations: psv, peak systolic velocity; edv, end diastolic velocity; mdv, mean diastolic velocity; tapv, timed averaged peak velocity; s/d, systolic/diastolic ratio; pi, pulsatility index; ri, resistive index; hr, heart rate.",,,
chest radiograph demonstrates a right hilar mass,,,a transabdominal ultrasound evaluation showed an ectopic gestational sac (black arrows) and a fetus (black star),follow up selective inferior mesenteric angiogram after successful embolization. there is filling of the proximal superior mesenteric artery without filling in distal superior hemorrhoidal artery.,,,
chest x-ray 1 day before packed red cell transfusion,,,abdominal computed tomographic scan indicating the large benign tumor.,tissue doppler imaging at left internal mammary artery → left anterior descending,,,
double the shadow of thoracic aorta (bold arrows) and widening state of superior mediastinum (sharp arrows) were shown in chest x-ray.,,,patient 2: abdominal computed tomography (ct) revealing large retroperitoneal mass,"a circumferential thickening of the common carotid artery wall was detected on doppler ultrasonography, while the vessel wall of the internal carotid artery was normal.",,,
"aspergillosis. angioinvasive disease chest x-ray is the most common, manifesting as thick-walled cavitary lesions predominating in the upper lobes, with air-crescents surrounding areas of desquamated infarcted lung. here, we see all the described features on computed tomography",,,plain abdominal radiograph of case 2 showing a large superior gastric shadow reaching inferiorly to the lumbar spine and faecal loading in transverse/descending colon,a control angiogram of the right internal iliac artery showed no evidence of pseudoaneurysm or avf.,,,
corresponding transverse images of a chest computed tomography scan showing a well-defined mass about 22 mm in the lower lobe of the patient's right lung.,,,abdominal computed tomography findings. there were some signs of choledochal cyst with dilatation of intrahepatic bile duct accompanied by dilatation of the common bile duct.,ct image: pseudoaneurysm arising from the proximal splenic artery.,,,
chest x-ray at the emergency department. posterior-anterior conventional radiograph of the chest with an intrathoracic air-fluid collection. air-bubble in stomach. free-intraperitoneal air inferior of both hemidiaphragms. image suspect of stomach/bowel perforation and partial intrathoracic positioned stomach.,,,"tdm abdominale montre une masse avec coque peu épaisse et une vésicule endokystique, avec un développement exophytique",ct angiogram showing a filling defect of left anterior descending artery at the origin of the second diagonal vessel.,,,
"chest x-ray immediately after application of extracorporeal membrane oxygenation. there was consolidation in the left upper lung zone, and an outflow catheter was inserted into the right internal jugular vein (arrows). r, right.",,,plain film radiographanteroposterior view abdominal x-ray demonstrating marked dilatation of the sigmoid colon.,transcranial color flow doppler ultrasound shows increased flow velocity in left posterior cerebral artery.,,,
chest x-ray showing acute respiratory distress syndrome.,,,ct scan showing the abdominal aortic aneurysm and the divirticular abscess (arrow).,"right parasternal cranial long-axis view of the right ventricular outflow tract on the third intercostal space. ds, dorsal; vt, ventral; rv, right ventricle; pa, pulmonary artery; pv, pulmonary valve; ao, aorta; av, aortic valve.",,,
ct chest image from patient 1 showing bilateral diffuse ground glass infiltrates.,,,"abdominal computed tomography reveals that the tumor disappeared with atrophic change of the left lobe, together with a clinical complete response, 8 months after hepatic arterial infusion chemotherapy",coronal contrast-enhanced mr image showing heterogeneous enhancement of the mass (arrow) in the expected adrenal location. the renal artery (long arrow) is displaced inferiorly by the mass.,,,
chest x-ray of a 56-years-old lady with an acute exacerbation of asthma showing left upper lobe collapse-consolidation along with left paracardiac opacity,,,"abdominal computed tomography. contrast-enhanced computed tomography during the arterial phase shows a hypodense lesion (arrows) in the left lobe of the liver, with infiltration to the surrounding tissue.",the arteriography of the popliteal artery showed the pseudoaneurysm.,,,
chest x-ray radiograph shows right side white lung and mediastinal shifting to the left,,,abdominal radiograph on postoperative day 4: lucency in the stomach and small bowel ileus.,third scan (recuperative phase) showing reduced size of left subclavian artery aneurysm and clearing of thrombus.,,,
"chest x-ray on discharge showing resolution of the bilateral lung infiltrates, pleural effusions, and surgical emphysema.",,,abdominal magnetic resonance imaging-t2 was performed and revealed uterine fibroid in spigelian hernia (arrow). (3) spigelian hernia. (4) linea semilunaris. (6) uterus. (7) fetus.,the guide wire was advanced too far in the distal part of the right coronary artery during stent implantation.,,,
chest x-ray.,,,abdominal computed tomography showing complete thrombosis of inferior vena cava.,fetal longitudinal parasagittal view: showing cardiomegaly and dilatation of aortic arch branches – brachiocephalic trunk and left common carotid artery,,,
ct chest demonstrating contiguity of mass with bronchus.,,,"abdominal ct images of patient 1, after two months of capecitabine/oxaliplatin therapy.","ct angiography showing a type iii saccular right renal artery aneurysm, with decreased cortex to medulla parenchyma ratio (case 2).",,,
computed tomography scan of the chest showing a large left ventricular pseudoaneurysm perceived as a left pulmonary mass,,,haemorrhagic cyst. patient presented to the emergency department with acute onset of lower abdominal pain. the patient had a previous history of a right oophorectomy for an ovarian serous tumour. transvaginal ultrasound of the left ovary demonstrates a cyst with typical lacelike reticular internal echoes (large white arrow). there is no internal blood flow but circumferential blood flow around the cyst wall is seen (small white arrow); this is a typical feature in a haemorrhagic corpus luteal cyst,angiographic image of the markedly developed left internal mammary artery.,,,
chest radiograph report. the heart is not enlarged. there are multiple ill-defined opacities throughout both lungs. the largest is noted within the left mid-zone. there is blunting of both costophrenic angles. comment: the features are suspicious of multiple pulmonary metastases,,,plain abdominal x-ray 4 days after the endoscopic retrograde cholangiopancreatography procedure revealed small bowel dilation with a dilated loop.,computed tomography angiography of the carotid arteries. a large embolus in the left carotid artery (arrowhead) is present.,,,
preoperative chest x-ray.,,,"ct abdomen: lesion in the abdominal wall, possibly originating from the rectus abdominis muscle.",cvp - estimated internal jugular height. arrow represents taper point of internal jugular vein; ica: internal carotid artery; ijv: internal jugular vein.,,,
"the lateral venogram of the chest in a swine after simultaneous injection of the right femoral vein and right jugular veins. the large hemiazygos vein (hav) ascends along the vertebral column and joins the coronary sinus (cs), which then communicates the directly with the right atrium.",,,an abdominal computed tomography showed a small bowel dilatation with a caliber change (arrowhead).,mra showing 99% stenosis of the left subclavian artery and 30% stenosis on the right side (arrows),,,
chest radiography with left-sided pulmonary edema.,,,"three-dimensional computed tomography angiogram reconstruction demonstrating extensive severe luminal narrowing of the infrarenal abdominal aorta, bilateral common iliac, external iliac, and common femoral arteries by calcified and noncalcified plaques.",ct showing resolution od cancer invasion after chemotherapy but the same site of invasion now shows a pulmonary artery pseudoaneurysm.,,,
"chest computerized tomography of the patient at age 11 years, 7 years after hematopoietic stem cell transplantation and 17 months prior to lung transplantation. at the time of this evaluation, he had dyspnea on exertion, a chronic, non-productive cough, and a restrictive pattern on pulmonary function tests. bilateral, diffuse areas of ground glass opacities and fibrosis of the lung parenchyma are shown.",,,bezoar can be seen in the abdominal ct.,coronal computed tomography angiography image demonstrating bony dehiscence at the sphenoid segment of the internal carotid artery (white arrow),,,
"chest computed tomography scans showing subcutaneous emphysema, pneumomediastinum, pneumothorax, thickening of interlobular septa, and a reticulonodular pattern",,,"hgt: hepatogastric trunk; sa; splenic artery, aa; abdominal aorta. splenic artery directly arises from the abdominal artery and hepatogastric trunk arises from the abdominal artery as seen in the ct image.",duplex ultrasound image from the left lateral neck demonstrates the left vertebral artery near the c2 vertebra.,,,
"a limited field of view (fov) is utilized to improve spatial resolution during scanning of the coronary arteries, resulting in eliminating pulmonary parenchyma and parts of the chest wall from the image.",,,ct scan of the abdomen showed two cystic collections in the anterior abdominal wall with peripheral enhancement,angiography of the right ophthalmic artery after tissue plasminogen activator infusion. arrow shows arterial blood flow beyond point of obstruction.,,,
chest radiograph posteroanterior view showing a rounded opacity along the left heart border,,,abdominal ultrasound scan,intravascular ultrasound (ivus) in the left iliac vein (anterior at top of image) demonstrating compression from the adjacent right iliac artery (2 o'clock position) before stenting.,,,
postero-anterior view of the chest showing left lower lobe collapse,,,"radiographic finding in canine barium peritonitis. a right lateral thoracic radiograph of a dog reveals free contrast medium in the abdomen (short arrow) and contrast uptake in a sternal lymph node (long arrow).(reprinted with permission from mark d. dunbar et al.: dunbar, m. and alleman, a. 2009. a challenging case: abdominal effusion in a dog. veterinary medicine. 104: 244-247.)",before right uterine artery embolization.,,,
chest radiograph showing multiple cavitating lung lesions in a patient with wegener’s granulomatosis.,,,"tomodensitométrie abdominale, coupe axiale montrant la pneumatose kystique intestinale",coronal magnetic resonance imaging (mri) of the left leg reveals the pseudoaneurysm of the posterior tibial artery.,,,
chest radiographs before initiation of intrapulmonary percussive ventilator therapy and 4 hours after bronchoscopy. there was improvement of aeration of the left lung with persistent hazy opacifications in the right upper and middle lobes.,,,"abdominal enhanced multidetector-row computed tomography (mdct). a low-density 2x3 cm mass between the body and tail of the pancreas, showing intense contrast enhancement (arrow).","measurement of pericoronary adipose tissue (pat) thickness. the red arrow indicates the longest pat thickness on surrounding proximal portion of right coronary artery (rca) and the black arrow indicates the longest pat thickness on surround in proximal portion of left coronary arteries (lcas). in this patient, maximal pat thickness is 21 mm and this measure was used for analysis.",,,
chest roentogenogram showing infiltrative shadows in both lungs.,,,"abdominal contrast-enhanced computed tomography image showing no evidence of an enlarged pancreatitis, periaortic soft tissue, or aortic dilation.",case 3. left renal infarcts associated with left renal artery dissection were identified on ct.,,,
right lateral view of chest demonstrating unfused manubriosternal and xiphisternal joints,,,computed tomography scan showing giant cystic lesion filling the entire abdominal cavity,"parasternal short-axis view from the main pulmonary artery and its bifurcation, showing an anterior extra cardiac tissue (arrow), which is the thymus gland. it is not abnormal during infancy",,,
preoperative chest x-ray (cxr).,,,"an abdominal x-ray. in the spine position, an irregular gas image was observed in the right lateral abdomen, corresponding to pneumoretroperitoneum (arrows)","coronary angiography rao 30/caudal 18 view showing big lm thrombus with normal lad, lcx and rim arteries. rao: right anterior oblique; lm: left main; lad: left anterior descending; lcx: left circumflex; rim: ramus intermedius artery.",,,
chest x-ray on admission to the emergency room.,,,normal appearance of abdominal muscles on ct scanning,ct image showing bilateral popliteal artery aneurysms with extravasation of contrast-enhanced blood with surrounding aneurysm on the right side. (arrow pointing to the popliteal artery).,,,
multilocular thymic cyst with follicular hyperplasia in a 47 year-old hiv+ female with an anterior mediastinal mass. axial contrast enhanced chest ct at the level of the heart shows a 7.1 × 2.7 × 8.8 cm lobular lowattenuation mass with heterogeneous enhancement draped across the anterior mediastinum (arrow).,,,"abdominal computed tomography image showing percutaneous transhepatic drainage of the more superficial, inferior lobe.",emergent angiography demonstrated an avascular tumor and did not reveal any extravasation from the hepatic artery.,,,
post-operative chest x-ray showing bilateral pleural effusion right more than left (following pleural tapping),,,– abdominal plain radiography showing the displacement of the bowel loops to the left and a homogeneous opacity filling the right hemiabdomen.,ct showing nonenhancement of the superior mesenteric artery following contrast. the celiac axis is heavily calcified with minimal contrast enhancement (case 2).,,,
"x-ray chest in postero-anterior view showing cardiomegaly and increased pulmonary blood flow, dilated right atrium and dilated pulmonary artery",,,distant metastasis-axial upper abdominal ct showing multiple tumour deposits and cysts in the liver.,"celiac trunk angiography showing complete exclusion of giant hepatic artery aneurysm.liquid agent (onyx) used for embolization is evident at origin of right hepatic, left hepatic, and gastroduodenal arteries. red arrow indicates amplatzer vascular plug occluding proximal neck of aneurysm.",,,
posteroanterior chest x-ray. bowel loops compressing the right ventricle of the heart.,,,suspected hypoechoic tract (arrows) seen on abdominal ultrasound through the myometrium following ultrasound‐guided amnioinfusion located inferior to the initial abdominal skin incision.,coronal t2-weighted magnetic resonance image (t2w mri) shows subtle hypointense signal intensity lesion in the left cavernous sinus lateral to internal carotid artery.,,,
"pa chest radiography, also shows the foreign body",,,focal atrophy of the abdominal integument (small arrow) in the site after drain. in this localization stuck to the integument small intestine loop is visible (b). large arrow indicates normal integument thickness beyond the operation site,dominant right coronary artery delivering collaterals to a chronically occluded left anterior descending artery and diagonal territory without significant stenosis,,,
chest x-ray reported as showing pacemaker lead fracture,,,35-year-old male with complaints of abdominal distention. ultrasound of abdomen using 5 mhz curvilinear probe shows in the mesentry and omentum.,color flow mapping of the coronary artery on the lateral wall (arrow).,,,
"on the 5th postoperative day, a pneumonic infiltration with pleural effusion was evident on a follow-up chest x-ray.",,,abdominal computerized tomography performed after urinary diversion by ureteral stent. the figure shows a right iliac ureteral mass (white arrow) below the right iliac artery cross.,intraoperative angiography showing complete course of the artery of adamkiewicz and non-visualization of the vein.,,,
chest x-ray of a patient showing a mass lesion located left hiler localization.,,,figure 1: abdominal radiograph showing single gastric bubble and calcification in left iliac fossa.,"ct pulmonary angiography showing hypodense filling defects in right and left pulmonary artery.abbreviation: ct, computed tomography.",,,
patient chest x-ray. patient lungs are shown to be clear.,,,abdominal computed tomography (ct) examination of the patient. this abdominal ct image shows a large left-sided retroperitoneal mass.,"after endovascular embolization, repeat left external carotid artery digital subtraction angiography reveals no persistent tumor blush at the site of pretreatment abnormality (arrow). only the normal appearing occipital and superficial temporal arteries are visible now.",,,
"maximum intensity projection (mip) image of whole body in the third pet/ct scan. pathological fdg uptake was seen at multiple lymph nodes in the head and neck, chest, abdomen and inguinal regions, and in the stomach",,,figure 1: abdominal radiograph suggestive of mass effect and intestinal obstruction,multiplanar reconstruction. the origin of left pulmonary artery (lpa) from the pulmonary trunk (pa).,,,
axial cect image at lesion level in mediastinal window showing well loculated eliptical hypodense collection with peripheral enhancement on the anterior chest wall with no evidence of mediastinal lymphadenopathy.,,,tdm abdominale montrant processus tissulaire de 7 cm de grand axe polaire supérieure hypodense. cette lésion est faiblement rehaussée après injection de produit de contraste,coronal reformat from a thoracic cta in a 13-year-old patient with mid aortic syndrome demonstrates step ladder artifact in the pulmonary artery as well as descending aorta. note the differential enhancement in the right ventricle outflow tract vs. main pulmonary trunk. also note the differential enhancement in descending aorta,,,
catheter misplacement to the vertebral vein.[37] chest x-ray shows that the central venous catheter passes the transverse processes of the 6th and the 7th cervical vertebrae (arrow).,,,"abdominal ct: pancreas, nodule image with periferal contrast. hypodense center.",arterial phase t1-weighted mri image (transverse view) showing anomalous arterial supply to ectopic left kidney and mass (star). proximal left renal artery (short arrow) branching off distal aorta. distal left renal artery (long arrow) branching off left common iliac artery.,,,
a fifteen-year-old boy with swelling of the right lower neck. pa chest x-ray,,,head of the fetus at the 33 weeks of gestation. transabdominal ultrasonography reveals enlargement of the left lateral ventricle and hematoma in the right subdural area.,"first suggestion of terminal ileal crohn's disease identified on sonography, with thickened distal ileum running over the hypoechoic iliac artery. the white line marks the thickened ileal wall with echogenic or white air in the lumen.",,,
a postoperative chest ct image. a postoperative ct image of the chest shows a massive hemothorax in the left pleural space.,,,abdominal computed tomography shows an 8-cm tumor in segments 7 and 8 of the liver.,"postoperative 3d cta, anterior view. there is no endoleak in the stent graft. the fistulous flow has also disappeared. the left external iliac artery to the right common femoral artery (i–f) bypass flow shows good patency.",,,
chest radiograph showing a recurrent right pneumothorax.,,,kidney-ureter-bladder abdominal radiography: a tangled wire in the bladder and urethra of a 30-year-old man.,"cta, mip reconstruction. fusiform aneurysm of the basilar artery.",,,
computerized chest tomography.,,,"repeat abdominal ct after initial hepatic resection. several new, low-attenuation lesions are present in the right hepatic lobe. similar, smaller lesions were present in the left hepatic lobe (not shown).",color doppler sonography. large plaque causing highgrade stenosis of internal carotid artery,,,
this is a representative slice of a chest computerized tomography angiogram showing one of the multiple arteriovenous malformations (arrow) detected on the study.,,,"after the catheter placement, the catheter tip is confirmed to be at the fluid collection site on abdominal ct (arrow).",examination by cerebral four-vessel angiography revealing nearly total occlusion of the right internal carotid artery bifurcation and a moderate degree of pial collateral flow from the right anterior and posterior cerebral artery to the middle cerebral artery territory.,,,
chest x-ray showed ra enlargement and rv type of apex.,,,abdominal mri of patient b demonstrating an air-fluid level (arrow) of the descending colon with surrounding mass.,"embolized port catheter, catched up by snare catheter in the right pulmonary artery, (anterior posterior view of fluoroscopic angiogram",,,
"plain supine ap chest radiograph showing a prominent, right-sided cardiac silhouette ('boot shaped'); bilateral pulmonary contusions; rib fractures; endotracheal and tube thoracostomies. with the benefit of hindsight there is the suggestion of a left-sided pneumopericardium surrounded by a faint pericardial contour.",,,"abdominal computed tomography showing a heterogeneous lesion in the upper pole of the right kidney, measuring 4.2×3.9 cm.",the picture shows the splenic hilum and the formative tributaries of splenic vein. splenic artery is seen in a cross section anterior to the formative tributaries.,,,
ap radiograph of chest showing bilateral basal air space filling lesions consolidation,,,trans-abdominal scan.,"ultrasound (us) image (oblique para-sagittal plane) showing an anechoic, eccentric, large sac clearly communicating with the lumen of the grafted left external iliac artery. the finding is consistent with a para-anastomotic pseudoaneurysm.",,,
case 2- chest x-ray demonstrating costo-chondral widening,,,"abdominal mri: hypersignal mass developed at the expense of the rectus abdominis with a contact with the psoas muscle, the sigmoid colon and the external iliac pedicle","duplication of the left vertebral artery in doppler ultrasonography (b-flow mode): arrows duplicated left vertebral arteries, lc left common carotid artery",,,
chest x-ray on admission showing a massive pericardial effusion with a pig-tail catheter in situ for drainage,,,initial preoperative imaging showing pelvi abdominal mass,"after successful left main stem stenting, intravascular sonography was performed with a coronary guide wire in the left anterior descending artery. this intravascular sonographic view depicts several hypoechogenicities in the vessel wall of the proximal left anterior descending artery (arrowheads). in other frames, there was very prominent thickening of the intima in this coronary segment. one example is given as additional file 2",,,
computed tomography (ct) of chest revealed a multiloculated mass in the left lower lobe of the lung.,,,abdominal ct scan with oral contrast taken nine hours after egd with cautery and epinephrine shows duodenal perforation with leaking oral contrast.,an oblique coronal image of the fetal thorax reveals the aneurysmally dilatated main pulmonary artery and absence of pulmonary valve echoes (arrow),,,
ct chest on presentation.,,,abdominal ultrasonography image showing diffuse gallbladder wall edema (arrow),spinal angiography of the segmental artery at the left l1 level shows fusiform aneurysm of the radiculomedullary branch of the adamkiewicz artery with a diameter of approximately 3×11 mm.,,,
"chest and abdomen mri showing dilated central small bowel and swirling pattern of these dilated loops—“whirlpool sign” (arrow). mri, magnetic resonance imaging.",,,"enhanced abdominal computed tomography. abdominal computed tomography revealed a hypovascular tumor, measuring 9 × 7 cm, in the upper pole of the right kidney (arrowheads).",surgical approach to the distal segment of radial artery,,,
chest x-ray showing dilated cardiomyopathy,,,"transabdominal ultrasound revealed a well-defined, hyperechoic mass (4.3 × 3.7 cm) with an appearance resembling that of a teratoma, just adjacent to the uterus.",color duplex scan image of popliteal artery. arrow shows the pseudoaneurysm formation with arterial blood flow inside its cavity.,,,
the immediate post-operative chest ap x-ray shows a chest tube and no residual pneumothorax.,,,"26-year-old female who had received liposuction few hours before visiting hospital presented with abdominal pain and vomiting.because bun and serum creatinine showed increased levels of 35.5 mg/dl (normal range: 7.3-20.5 mg/dl) and 2.6 mg/dl (normal range: 0.49-0.91 mg/dl) on laboratory examination, only non-contrast ct scan was performed. on axial ct image, diffuse subcutaneous emphysema was seen (arrowheads). both kidneys showed oedematous change without hydronephrosis. patient was diagnosed with pre-renal acute renal failure. after intravenous administration of fluid, her renal function recovered without sequelae.",b-mode of the femoral vein and artery in its transverse section,,,
chest radiograph with complete resolution at follow-up,,,abdominal ct scan showing toothpick in the liver (black arrow).,ct angiography 24 h later showing normal branches of left coronary artery,,,
cect of chest showing pulmonary nodules,,,"a circumscribed cystic lesion originating from the right rectus abdominis muscle was revealed, communicating intra-abdominally with the gallbladder fundus, whereas a 2 cm gallstone was impacted at the hartmann's pouch.",coronary angiography shows anomalous origin of right coronary artery from left sinus and 75-90% stenosis at its origin.,,,
chest radiograph at admission showed patchy opacities with reticulation in bilateral lower lungs.,,,plain abdominal x-ray during ctt study before bowel cleansing with klean-prep®,selective prostatic artery embolisation. angiographic image from the embolisation procedure undertaken in march 2009 demonstrating the dense arborisation of the right prostatic artery supplying the large intravesical body of the giant prostate and nephrogenic adenoma. image taken immediately prior to microsphere injection.,,,
"computed tomography (ct) of chest showing widespread lobulated masses present bilaterally, largest measuring 4.6 x 4.7 cm in the right mid chest with bilateral pleural effusions causing severe compressive atelectasis",,,axial abdominal ct scan showing large right sided adrenal mass.,"native frontal projection fluoroscopic image following embolization of the right middle meningeal artery. note the coil placed at the origin of the right middle meningeal artery (arrow).""right"" indicates the patient's right side.",,,
chest radiography from case 1 showing left pleural effusion.,,,plain abdominal radiography. small bowel dilatation and airfluid levels are seen in the right side of the patient's abdomen (upright position).,"color doppler image and pulsed wave flow of the external ophthalmic artery of an adult male new zealand white rabbit treated with 10 mg of sildenafil citrate (day 15). blood flow in the external ophthalmic artery towards the transducer shown in red and flow in the opposite direction in blue. the external ophthalmic artery exhibited a laminar flow pattern with intermediate resistivity, dichroism, and two peak systolic velocities (a and b). optic nerve (white arrow)",,,
chest radiograph at the postoperative 8th day. this shows that pneumothorax in right hemithorax and partially collapsed right lung are treated.,,,computed tomography of the abdominal-pelvic floor showing the tumor invading the suprapubic region (white arrow).,"modified apical four-chamber view, color doppler examination. flow detected in long segment of the right posterior descending (rpd) coronary artery is depicted in red.",,,
chest x-ray of case 3 showing pericardial effusion and left sided pleural effusion,,,abdominal computed tomography scan. arrows show intramural air in the ascending colon.,"the classification of plaque on distribution of longitudinal image. (a) extensive plaque located from cca to ica within 5 mm from bifurcation (arrow) on both sides. (b) proximal plaque included ica within 5 mm from bifurcation. (c) distal plaque included ica beyond 5 mm from bifurcation. cca, common carotid artery; ica, internal carotid artery.",,,
the chest computed tomography showed a large anterior mediastinal cystic mass lateralized to the left side frame evoking a cystic teratoma or a cystic thymoma without aggressive loco-regional signs (arrow).,,,initial aortogram showed an infrarenal abdominal aortic aneurysms with severe neck angulation.,selective angiography of celiac branch showing coils in the gastroduodenal artery resulting in hemostasis.,,,
chest radiograph performed in the light of the data of bone scan,,,abdominal computed tomography scan showing leakage of rectal contrast and air (arrow) from the posterior wall of rectum,superselective coil embolization was performed with full occlusion of the feeding artery using fiber coils.,,,
plain chest radiograph showing a hydropneumothorax on the right side with the pneumothorax component measuring 16 mm. a high right hemidiaphragm is also evident,,,contrast-enhanced abdominal computed tomography showed extension of the mass to ivc (black arrow) and ascitis.,"digital subtraction angiography. selective left renal injection through a transbrachial multipurpose 5-fr catheter, with rapid injection of a wide-necked aneurysm originating from an upper-pole anterior segmental artery.",,,
"chest x-ray, (during first hospitalization) shows extensive basilar-predominant fibrosis, pleural thickening and possible pneumonic infiltrates in bilateral lower lobes of the lungs. no previous cxr was available for comparison.",,,computed tomography scan shows a fistulous tract in the anterior abdominal wall communicating with the skin.,"right ventriculogram in lateral view [video 1] shows thickened and doming pulmonary valve (pv) shown in arrow, dilated main pulmonary artery (mpa) and adequately open right ventricular outflow tract (rvot)",,,
"chest radiograph of the patient showing bilateral alveolar infiltrates. although pulmonary edema was the initial diagnosis, an infectious cause should be considered and, on the basis of sepsis, appropriate treatment initiated.",,,abdominal radiograph showing fecal impaction.,"same static image as in figure 1, although a doppler angle correction of 1° appears on the image (white dotted arrow), and the emission sound beam (white arrow) from the transducer is not parallel to the direction of the blood flow. as result, all values of peak systolic velocity, end-diastolic velocity, and resistive index are the same as that measured without doppler angle correction in figure 1. therefore, the angle of 1° on the image is not the angle between the emission sound beam and the direction of blood flow at the sampled artery, and instead is the angle between the emission sound beam and the doppler angle correction.",,,
a pre-surgical ct scan of the chest showing the tumour.,,,ct performed 39 days after the initial surgery demonstrating a mass that had originated from the ascending colon and had invaded the abdominal wall,"transverse ct pulmonary angiogram at the level of the right pulmonary artery showing grade 1 transient interruption of contrast (tic) in an 81-year-old woman. pulmonary arteries (arrow) measure 72 hu, while the aorta (asterisk) is properly enhanced and contrast is still present in superior vena cava (arrowhead)",,,
preoperative chest radiograph reveals massive pleural effusion of the right lung.,,,abdominal ct angiography showing splenic artery aneurysm.,computed tomography (ct) angiogram shows bilateral renal artery stenosis. rt. kidney is atrophied with multifocal renal artery stenosis.,,,
"x-ray chest showing encysted hyper-translucence shadow covering the whole left hemi-thorax, with mediastinal shift to the right",,,abdominal x-ray of the patient which showed a marked gastric air bubble (black arrows) and a downward shift of transverse colon (white arrows),arteriography of right knee showing the popliteal artery occlusion.,,,
