x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
"chest x-ray, ap view; heart, rest of mediastinum structures and trachea displaced to contralateral side; dextrocardia.",,,,,,,
,,abdominal x-ray showing the foreign body in right iliac fossa.,,,,,
chest x-ray showing right ul consolidation with air-bronchogram,,,,,,,
a chest x-ray demostrates a large peripheral mass arising from the lateral parts of the left fourth to sixth ribs.,,,,,,,
chest x-ray after chemotherapy.,,,,,,,
plain chest x-ray shows large mediastinal mass,,,,,,,
,,,,,,"skull x-ray showed a granular ""salt and pepper"" appearance, which is thought to be a typical finding of primary hyperparathyroidism. it also showed enlargement of the sella turcica, which can be commonly seen in cases of pituitary tumors.",
chest x-ray (pa view): re-accumulation of massive left sided pleural effusion (arrow).,,,,,,,
"x-ray of chest revealing cardiomegally, pulmonary plethora and pulmonary venous hypertension",,,,,,,
chest x-ray: anterior posterior (ap) portable demonstrating multiple cavitating lesion involving right upper zone with surrounding fibrosis (arrow). reticulonodular opacities seen involving the left mid and lower zones.,,,,,,,
chest x-ray after 3 cycles of treatment with dexamethasone.,,,,,,,
"portable semi-upright chest x-ray demonstrating an endotracheal tube in proper position, no pneumothorax, and possible left pleural effusion. no evidence of widened mediastinum or free air under the diaphragm. the nasogastric tube is visible coursing through the right internal jugular vein to the superior vena cava. the tip of the nasogastric tube is not visible.",,,,,,,
chest x-ray showed widespread bilateral air-space disease,,,,,,,
an 8-year-old boy with premature ventricular complex - posteroanterior chest x-ray shows a normal sized cardiac silhouette (modified from nava et al30,,,,,,,
chest x-ray; right perihilar hyperlucent appearance,,,,,,,
"preoperative chest x-ray showing bilateral lung opacities, blunting of costophrenic angles and a left intercostal drain in situ",,,,,,,
,,abdominal x-ray.,,,,,
resolution of lesions in chest x-ray (arrows).,,,,,,,
,,abdominal x-ray film in erythromycin group on 5th postoperative day. picture shows that most kolomarks in the gastrointestinal tract remained except 4.,,,,,
chest x-ray image showing a significantly enlarged cardiac silhouette.,,,,,,,
chest x-ray showing reexpansion of the lungs following bilateral chest tube insertion.,,,,,,,
,,abdominal x-ray showing severe colonic dilation due to pseudoobstruction.,,,,,
chest x-rays posteroanterior view patient (6) showed bilateral fluffy infiltrates with normal cardiac shadow suggestive of non-cardiogenic pulmonary edema,,,,,,,
chest x-ray showing right-sided pneumothorax. there is no intraperitoneal free air.,,,,,,,
chest x-ray on admission.,,,,,,,
chest x-ray on 14th day showing clearing of lung fields,,,,,,,
chest x-ray demonstrating large right pneumothorax on the day after placement of the central venous catheter.,,,,,,,
"nodular lesion at chest x-ray. chest radiography showing bilateral nodular lesions, above all in lower lung fields.",,,,,,,
initial chest x-ray. the chest radiography reveals two multilobulated masses (arrows) in retrocardiac area of the left lung and multiple round metastatic nodules in mid lung fields of both lung.,,,,,,,
"chest x-ray, where the subcutaneous emphysema radiologically was also confirmed.",,,,,,,
chest x-ray showing multiple pulmonary nodules,,,,,,,
preoperative chest x-ray demonstrating cardiac enlargement due to pericardial effusion.,,,,,,,
"chest x-ray film, lateral view, showing the relative position of the implantable cardioverter-defibrillator and breast tissue expander.",,,,,,,
chest x-ray with left base opacity.,,,,,,,
chest x-ray with right upper lobe cavitating pneumonia.,,,,,,,
chest x-ray demonstrates herniated loops of small and large bowel. arrow shows dilated bowel with air-fluid levels,,,,,,,
chest x-ray on admission.,,,,,,,
,,abdominal x-ray on admission. the x-ray showed dilated small intestine indicating mechanical bowel obstruction,,,,,
"chest x-ray obtained at the time of admission. bilateral osteomyelitis in the humerus presented as osteolysis and involucrum. also, there is sequestration because of osteonecrosis and a pathologic fracture in the proximal part of the humerus. dislocation of right glenohumeral joint brings up the arthritis diagnosis. there is complete osteolysis in proximal metaphysis in the left humerus and arthritis in the left glenohumeral joint. the heart, lung and pleural space have a normal appearance, while the thymus is atrophic.",,,,,,,
chest x-ray presenting a lesion in the left pleural cavity,,,,,,,
chest x-ray showed hydropneumothorax,,,,,,,
"pneumomediastinum and pneumoretroperitoneum were not observed on the chest x-ray (cxr) (postero-anterior) that was performed 3 days after the surgery, and this cxr showed normal findings.",,,,,,,
,,abdominal x-ray at presentation,,,,,
,,plain abdominal x-ray with an enteroscope in situ.note: the balloon endoscope is clearly visible with its tip (arrow) deep in the small bowel (balloon not visible).,,,,,
chest x-ray revealing free intraperitoneal air under the diaphragm.,,,,,,,
lateral chest x-ray. bowel loops compressing the right ventricle of the heart (white arrow).,,,,,,,
chest x-ray 30 min post-procedure. right side pneumothorax.,,,,,,,
chest x-ray pa view showing an opaque shadow in the upper and middle zone of the left lung which is inseparable from the cardiac silhoute. also note that the left hemi-diaphragm is higher than the right hemi-diaphragm.,,,,,,,
"frontal projection chest x-ray taken at onset of respiratory insufficiency, showing diffuse bilateral heterogeneous opacities",,,,,,,
control of chest x-ray after fluid evacuation.,,,,,,,
chest and abdominal x-ray on presentation,,,,,,,
follow-up chest x-ray after repair of aorta with transthoracic endovascular stent graft.,,,,,,,
chest x-ray showing a solid mass with a clear border at the right hilum and a negative silhouette sign for the right first arch.,,,,,,,
plane x-ray chest showing the presence of abnormal gas shadow in the right paravertebral region in the lower chest,,,,,,,
early chest x-ray.,,,,,,,
chest x-ray showing more than two lung quadrants affected used for lung injury score,,,,,,,
"chest x-ray showing air in soft tissue of neck, upper thorax and bilateral axilla",,,,,,,
chest x-ray of the patient with hypertrophic cardiomyopathy and kyphoscoliosis. note the scoliotic curvature of the thoracic spine with the convexity on the right side and the high position of the right hemidiaphragm.,,,,,,,
chest x-ray film of the sick neonate on a mechanical ventilator – right lung shows reticulogranular pattern due to severe pulmonary edema. this differential pulmonary venous congestion is an important bedside clue to suspect unilateral pulmonary venous hypoplasia/atresia,,,,,,,
x-ray of the chest of the patient in the presented case showing bilaterally pulmonary oedema.,,,,,,,
chest x-ray on admission showed bilateral perihilar haziness and fluid in right transverse fissure consistent with pulmonary edema.,,,,,,,
chest x-ray pa view,,,,,,,
lateral chest x-ray of the implanted subcutaneous implantable cardioverter defibrillatorthe shock coil (arrow) is flanked by the two sensing poles: distal (a) and proximal (b) electrode ring. (x) battery; (y) capacitor.,,,,,,,
initial bariatric preoperative chest x-ray that led us to the diagnosis.,,,,,,,
chest x-ray pa view,,,,,,,
chest x-ray of case 2.,,,,,,,
the initial chest x-ray on presentation to the emergency department shows no pathology.,,,,,,,
chest x-ray. chest x- ray shows no tb signs.,,,,,,,
,,,skull x-ray shows fusion of both coronal and lambdoid sutures with diffuse beaten copper appearance.,,,,
the chest x-ray on admission. l view,,,,,,,
repeat chest x-ray one year after surgery. one-year follow-up showed no progression of the diseases.,,,,,,,
x-ray chest lateral view showing the bullet with no bony injuries,,,,,,,
"chest x-ray film taken 1 year before the patient's first admission to our institution, showing patchy areas of increased density in the periphery of both lung fields, hyperinflation of the lungs and areas of honeycombing in the right lower lobe consistent with interstitial fibrosis.",,,,,,,
chest x-ray radiography showed cardiomegaly (ct ratio is about 0.6) and pulmonary edema.,,,,,,,
,,abdominal x-ray showing possible small bowel obstruction.,,,,,
chest x-ray after lvad implantation. (the illustration of outflow graft is added on the patient's chest radiography),,,,,,,
chest x-ray shows left lung infiltration.,,,,,,,
"chest x-ray showing hypoinflated lung fields, with basal atelectasis and elevated hemidiaphragms.",,,,,,,
"chest x-ray shows bilateral pulmonary infiltrates (right > left), with ill-defined cavities showing the crescent sign",,,,,,,
chest x-ray in patient.,,,,,,,
"chest x-ray after permanent pacemaker insertion. a lead was positioned at ra, and v lead was positioned at functional rv (morphologic lv). right sided aortic arch was also identified. ra: right atrium, rv: right ventricle, lv: left ventricle.",,,,,,,
"chest x-ray before the procedure showing two electrocatheters in the right ventricle, one in the coronary sinus and a right auricular catheter.",,,,,,,
the chest x-ray shows slight peripheral infiltration shadows in both upper and middle lung fields.,,,,,,,
chest x-ray on presentation.,,,,,,,
chest x-ray of the patient in fig. 1 at the end of postoperative 3rd year shows that left diaphragm is in normal position and lung is fully expanded.,,,,,,,
chest x-ray pa view showing a homogeneous opacity in the right upper zone.,,,,,,,
chest x-ray after the surgical intervention revealed the right hemidiaphragm in its proper position,,,,,,,
chest x-ray examination in standing position does not reveal any free air.,,,,,,,
chest x-ray showing bilateral patchy opacification.,,,,,,,
follow-up chest x-ray shows markedly increased metastatic nodules of right lower lobe and left upper lobe and newly developed metastatic nodule in right upper lobe.,,,,,,,
plain chest x-ray. a chest x-ray film taken just before the patient's death shows marked pulmonary congestion and diffuse bilateral reticulogranular infiltrates. no apparent cardiomegaly is seen.,,,,,,,
"33-year-old woman with spontaneous pneumomediastinum. chest x-ray day 1 after cesarean section showing more obvious signs of lucency (arrows)  outlining  the  aortic  arch  and  descending  aorta,  consistent  with  known  pneumomediastinum.",,,,,,,
"chest x-ray of patient two showing right sided pneumothorax and fractures of right scapula, clavicle and 3rd and 4th ribs, and hemothorax and pulmonary contusion on the left side",,,,,,,
x-ray anteroposterior view neck and chest,,,,,,,
"chest x-ray (posteroanterior view), revealing oligemic lung fields and right ventricular type cardiomegalyra, right atrium; rv, right ventricle",,,,,,,
follow-up chest x-ray. there was no pulmonary congestion and no cardiomegaly. the cardiothoracic ratio was reduced to 0.53.,,,,,,,
a chest x-ray obtained before lung puncture. the chest radiograph obtained just before decompression shows diffuse pulmonary interstitial emphysema in the right lung and a mediastinal shift to the left.,,,,,,,
chest x-ray 11 months after whole lung lavage with marked radiological improvement,,,,,,,
chest x-ray imaging performed shortly after patient's arrival to emergency department displaying evidence of pleural fluid suspicious of hemothorax in the lower lobe of the left lung.,,,,,,,
chest x-ray on the 5th day.,,,,,,,
chest x-ray shows multiple round nodules in both lungs,,,,,,,
chest x-ray which showed multiple lung nodules,,,,,,,
chest x-ray on the day of discharge.,,,,,,,
chest x-ray demonstrating multiple lung metastases of sarcoma and a metastasis to the right pleura and left hemopneumothorax.,,,,,,,
the postoperative chest x-ray shows increased infiltration and consolidation with air-bronchogram.,,,,,,,
chest x-ray showing upper pouch ending at t8. also note the absence of gas in the abdomen and pelvis.,,,,,,,
chest x-ray showing sewing needle perpendicular to the left heart border,,,,,,,
chest x-ray taken during massive airway bleeding and 20 minutes after right pleural aspiration.,,,,,,,
,,plain abdominal x-ray on presentation. note nonvisualization of the left hemidiaphragm and bowel gas at the left lung base.,,,,,
,,x-ray plain abdominal radiography revealed intestinal obstruction with small bowel air-fluid levels,,,,,
,,plain abdominal x-ray in the 40th minute after swallowing gastrografin showing no passage to the intestine,,,,,
chest x-ray showing raised showing raised hemidiaphragm on the right side suggestive of right-sided phrenic nerve injury.(reproduced with permission from[29].),,,,,,,
,,post-operative abdominal x-ray after distal catheter trimming.,,,,,
"chest x-ray on presentation, showing mediastinal widening and left parahilar infiltrate",,,,,,,
chest x-ray postero-anterior view.,,,,,,,
chest x-ray of patient 12 at 5 years of age. note the narrow thorax and short ribs,,,,,,,
chest x-ray showing collapse of right upper lobe,,,,,,,
chest x-ray of 13-year-old boy with right ventricular endomyocardial fibrosis. note huge cardiomegaly,,,,,,,
chest x-ray showing a rounded homogenous parenchymal opacity in the right mid lung (arrow).,,,,,,,
chest x-ray showing a distended stomach in left hemithorax and contralateral mediastinal shift. left lung is compressed,,,,,,,
x-ray chest showing full expansion of the left lung with ijv catheter and icd tube in situ,,,,,,,
follow-up chest x-ray showing recurrence of meningocele in the upper lobe of the right lung with satisfactory correction of the kyphoscoliosis.,,,,,,,
post-operative chest x-ray,,,,,,,
chest x-ray demonstrating cardiomegaly with pericardial effusion.,,,,,,,
chest x-ray showing an interstitial pattern suggestive of eosinophilic pneumonitis in this patient.,,,,,,,
chest x-ray shows bilateral pleural effusion.,,,,,,,
postoperative chest x-ray showing left sided double lumen endotracheal tube,,,,,,,
chest x-ray (posteroanterior view) demonstrating multiple radiopaque foci bilaterally,,,,,,,
,,case 1: abdominal x-ray showing an occlusive picture.,,,,,
,,plain abdominal x-ray showing small bowel dilatation and pneumobilia,,,,,
"chest x-ray anteroposterior view shows multiple subsegmental atelectasis, areas of air trapping and osteopenia",,,,,,,
postero-anterior (pa) view of chest x-ray.,,,,,,,
chest x-ray showed extracorporeal membrane oxygenation support via right neck vessel.,,,,,,,
this chest x-ray shows suspicious lesion of subglottic stenosis.,,,,,,,
the preoperative chest x-ray.,,,,,,,
a chest x-ray showing a 3 cm left upper lobe lung mass.,,,,,,,
"chest x-ray one month later. this picture was taken the day of his arrival at our hospital. the empyema is loculated, the foreign body is still present in the chest, and the radiological signs of esophageal perforation are more obvious.",,,,,,,
chest x-ray showing atelectasis in the right upper lobe and the irregular appearance of the tracheal wall. multiple nodular and cystic lesions of different thicknesses are visible in the walls of the right lung.,,,,,,,
chest x-ray at presentation shows opacity in left hemithorax,,,,,,,
the preoperative chest x-ray shows the tracheal deviation to the right side.,,,,,,,
"chest x-ray showing multiple air-filled cavitary right lung lesions, right-sided pleural effusion, and progression of the air-space disease in the left lung.",,,,,,,
chest x-ray of a patient in status asthmaticus who is mycoplasma pneumoniae positive demonstrating bilateral basilar infiltrates.,,,,,,,
,,"abdominal x-ray. the x-ray shows air in the biliary tree, distended loops of small bowel, and calcified gallstone in the left side of the abdomen.",,,,,
chest x-ray showing a large opacity in the right hemithorax.,,,,,,,
chest x-ray showing kinked pulmonary catheter,,,,,,,
chest x-ray with left-sided pneumothorax and cervical subcutaneous emphysema.,,,,,,,
chest x-ray after gastric decompression. note the normalization of the mediastinal shift and the gastric tube as it curves back into the left hemithorax (arrows) confirming the intrathoracic position of the stomach,,,,,,,
portable ap chest x-ray showing the fractured access needle within the left anterior chest wall.,,,,,,,
posterior anterior chest x-ray showing the right upper lobe fibrocavitatory lesion and left upper lobe fibrosis,,,,,,,
chest x-ray showing the foreign body in the lower trachea and the right main bronchus where the red arrow is pointing,,,,,,,
chest x-ray suggestive of right-sided large pleural effusion with blunting of right costophrenic angle,,,,,,,
chest x-ray pa view showing a poorly defined rounded opacity in relation to descending branch of the right pulmonary artery,,,,,,,
chest x-ray profile. accentuated cardiomegaly observed.,,,,,,,
chest x-ray shows the air extension in the chest.,,,,,,,
"the chest x-ray at the time of presentation in the 4 month old proband, showing the severely enlarged heart",,,,,,,
"x-ray chest showing bilateral, severely hypoplastic clavicles seen only in lateral aspects",,,,,,,
chest x-ray showing ill-defined density in the right lower lobe,,,,,,,
"33-year-old woman with spontaneous pneumomediastinum. chest x-ray done during labor, before emergency cesarean section, showing subcutaneous emphysema in the neck (arrows).",,,,,,,
postinsertion chest x-ray displaying normal position of cvc tip (arrow) in relation to carina,,,,,,,
chest x-ray showed cardiomegaly.,,,,,,,
chest x-ray demonstrates embolized mitraclip in the axillary artery and three mitraclips on the mitral valve position,,,,,,,
anterior-posterior chest x-ray with bilateral lower zone opacities,,,,,,,
pa chest x-ray demonstrating right lower lobe opacity.,,,,,,,
chest x-ray shows dilated main pulmonary artery.,,,,,,,
,,,,,,x-rays of the hip showing an osteolytic tumor at the site of the fracture (left side),
,,plain abdominal x-ray showing distended small bowel loops and right sub-diaphragmatic shadow with air fluid levels from trapped bowel.,,,,,
chest x-ray lateral view,,,,,,,
chest x-ray demonstrated total lung reexpansion after thoracic tube insertion. mild pleural thickness is observed.,,,,,,,
,,preoperative abdominal x-ray showed no abnormal features,,,,,
,,lateral plain abdominal x-ray showing multiple twists of the connecting wires adjacent to the ipg,,,,,
chest x-ray performed after lung volume reduction surgery (lvrs),,,,,,,
chest x-ray showed remnant catheter.,,,,,,,
"chest x-rays, 1 week after thrombolysis.",,,,,,,
the chest x-ray showing an opaque image of pleural effusion one week after surgery.,,,,,,,
a 13-year-old boy with apparent deformity of the spinal column and recent dyspnea. pa chest x-ray.,,,,,,,
,,plain film radiographanteroposterior view abdominal x-ray demonstrating marked dilatation of the sigmoid colon.,,,,,
initial chest x-ray was suspicious for left-sided haemopneumothorax.,,,,,,,
chest x-ray displaying multiple widespread pulmonary nodules.,,,,,,,
"chest x-ray taken at the admission in the intensive care unit, showing diffuse bilateral lung infiltrates and extensive airspace disease on the right lung.",,,,,,,
x-ray chest showing dextro cardia,,,,,,,
lateral chest x-ray without signs of fracture.,,,,,,,
,,plain abdominal x-ray 4 days after the endoscopic retrograde cholangiopancreatography procedure revealed small bowel dilation with a dilated loop.,,,,,
chest x-ray at admission,,,,,,,
"chest x-ray (posteroanterior view) (june 01, 2013) - enlarged pulmonary hila, reduced peripheral pulmonary vascularization; cardiomegaly with enlargement of the left middle arch (enlarged pulmonary artery).",,,,,,,
posterior-anterior view of the chest x-ray showing bilateral hilar lymphadenopathy with soft parahilar opacities,,,,,,,
"post-dialysis line insertion. chest x-ray, postero-anterior view. the line goes into left internal jugular vein and left-sided brachiocephalic vein, but then remains in the left haemithorax on the chest radiograph. the tips of the line lie at a point normally associated with the left ventricle on a chest radiograph.",,,,,,,
"chest x-ray showing mild bi-basal shadowing, but no evidence of bowel perforation.",,,,,,,
chest x-ray showing bulging of left heart border,,,,,,,
chest x-ray showing the primary tumour in the right lung.,,,,,,,
chest x-ray showing cardiomegaly and pulmonary congestion,,,,,,,
chest x-ray (p-a view) showing a large white shadow in the heart area and 2 small shadows at the lung hilum.,,,,,,,
chest x-ray of the patient in supine position.,,,,,,,
,,,,thoracic x-ray revealing oligemia in the right hemithorax and engorgement of the left pulmonary artery.,,,
"case 2: chest x-ray reveals bilateral upper zone fibrotic lesions, small left hydropneumothorax and a thin line across the left hilum (arrows)",,,,,,,
,,"an abdominal x-ray. in the spine position, an irregular gas image was observed in the right lateral abdomen, corresponding to pneumoretroperitoneum (arrows)",,,,,
antero-posterior chest x-ray of our patient 5 days after presentation.,,,,,,,
chest x-ray showing bilateral diffuse micronodules and ground glass appearance.,,,,,,,
chest x-ray. the heart is shifted into the right chest. the right lung is hypoplastic. note the “scimitar sign”- a curvilinear opacity widening its course to the inferior vena cava.,,,,,,,
"chest x-ray of a 33 year old worker of a printing plant, suffering from subacute humidifier lung disease. for details see text. there are patchy infiltrates predominantly in the lower and middle lung fields.",,,,,,,
"chest x-ray on initial presentation, showing diffuse bilateral reticulonodular opacities in the upper lobes.",,,,,,,
diffuse alveolar hemorrhage in wg. chest x-ray from a 14-year-old girl with diffuse alveolar hemorrhage due to wg with high titre pr3-anti-neutrophil cytoplasmic antibody (anca),,,,,,,
"rtg posteranterior: chest x-ray found a massive, diffuse lung consolidation bilaterally, with reactive hila",,,,,,,
posterior anterior chest x-ray demonstrates satisfactory stent placement with re-expansion of the left lower lobe.,,,,,,,
chest x-ray showing micronodular pulmonary metastases from a papillary carcinoma.,,,,,,,
chest x-ray on in the afternoon of the first postoperative day showing increase in the amount of effusion with gastric distension.,,,,,,,
chest x-ray with catheter in situ,,,,,,,
chest x-ray of the patient at presentation,,,,,,,
chest x-ray film. a nodulare shadow was seen near the hilum of the right lung. neoplastic changes were also noted in the right fourth rib.,,,,,,,
"post-operative x-ray chest after removal of the tumor and 4th, 5th, and 6th ribs",,,,,,,
chest x-ray. the tip of the double lumen endotracheal tube is located in the left main bronchus (arrow). three chest tubes were inserted on both sides of the chest cavity.,,,,,,,
preoperative chest x-ray showing the aspirated foreign body,,,,,,,
chest x-ray (posteroanterior view) showing a bilateral reticulonodular pattern with right upper lobe fibrosis,,,,,,,
the chest x-ray of the first recipient-twin showed cardiac dilatation: the cardiothoracic ratio was 70%.,,,,,,,
chest x-ray prior to discharge demonstrates correct position of the leads.,,,,,,,
chest x-ray 4 years later showing reticulonodular pattern with hyperinflation,,,,,,,
chest x-ray indicating enlargement of the right hilar area and suspicious mass in the right heart border.,,,,,,,
,,plain abdominal x-ray during ctt study before bowel cleansing with klean-prep®,,,,,
chest x-ray showing the coiled guide wire (arrow),,,,,,,
the patient's chest x-ray on admission to the intensive care unit. diffuse infiltration was observed throughout the lungs.,,,,,,,
"chest x-ray demonstrating an elevated right hemi-diaphragm, mediastinal lymphadenopathy, and tracheal compression near the level of the carina.",,,,,,,
chest x-ray on 8th postoperative day showing postpneumonectomy space filled with fluid,,,,,,,
chest x-ray shows prominent bronchovascular markings,,,,,,,
"second x-ray of the chest. two days later, another x-ray of the chest was performed showing the capsule in the right bronchus.",,,,,,,
"postoperative anteroposterior chest x-ray. a black arrow indicates the distal tip of the endotracheal tube. the distal tip of the endotracheal tube was below the first thoracic vertebra (t1) level. considering that the level of the larynx is at sixth cervical vertebra (c6) level in adults, the balloon of the endotracheal tube might be located just below the vocal cords.",,,,,,,
chest x-ray film taken 3 months after starting oral hormonal therapy showing disappearance of bilateral pleural effusion.,,,,,,,
preoperative chest x-ray pa view showing collapsed left lung,,,,,,,
,,abdominal x-ray of the patient which showed a marked gastric air bubble (black arrows) and a downward shift of transverse colon (white arrows),,,,,
"chest x-ray on day 1 at icu, showing diffuse bilateral opacities",,,,,,,
chest x-ray of the patient showing marked improvement after completion of therapy,,,,,,,
chest x-ray showing cardiomegaly. the cardiothoracic ratio was 0.6 at admission.,,,,,,,
chest x-ray on day 3 of hospitalization,,,,,,,
,,abdominal x-ray showing a radiopaque shadow of 2.7cm × 1.5cm over the pelvis.,,,,,
x-ray chest posteroanterior view showing left diaphragmatic hernia,,,,,,,
chest x-ray on admission which showed right lower lobe consolidation'.,,,,,,,
,,abdominal x-ray examination with barium enema. note the dilatation of the sigmoid colon,,,,,
sitting position chest x-ray with significant pleural effusion of the left side.,,,,,,,
lateral view of chest x-ray showing the silhouette of the left diaphragm,,,,,,,
chest x-ray showing basal left pulmonary infiltrate.,,,,,,,
chest x-ray: control at one year after both surgeries in the 6 y/o girl.,,,,,,,
x-ray chest showing full expansion of the left lung on discharge,,,,,,,
,,abdominal x-ray revealed dilated small bowel segments with some air-fluid levels.,,,,,
chest x-ray on admission showing consolidation with thin airbronchogram in the right upper lobe,,,,,,,
chest x-ray upon admission.,,,,,,,
"portable chest x-ray, supine.",,,,,,,
post thoracoscopy chest x-ray pa.,,,,,,,
chest x-ray of the patient at the time of admission.,,,,,,,
,,,,,,x-ray lower end of femur showing giant cell tumor.,
chest x-ray reveals a large cavity with a mass filled opacity confined to left upper zone and fibrotic changes in right upper zone,,,,,,,
chest x-ray of a 22-year-old obese asthmatic woman presenting in ards,,,,,,,
chest x-ray depicts left ventricular hypertrophy in a 79-year-old male patient with a dialysis shunt and increased cardiac output (black arrow),,,,,,,
,,supine abdominal x-ray with arrow indicating dilated jejunal loop on the left side.,,,,,
initial chest x-ray demonstrating elevated diaphragm (black arrows).,,,,,,,
chest x-ray shows patchy bilateral interstitial opacities in both lungs (arrows),,,,,,,
chest x-ray after antifungal treatment showing resolution of the left sided collapse consolidation,,,,,,,
"posteroanterior chest x-ray. two smoothly marginated masses can be identified, a bigger one in the lateral aspect of the right lower thorax (large arrow) and a smaller one just above the right diaphragm, close to the cardiophrenic angle (small arrow). notice the wide angle both lesions make with the thoracic wall and diaphragm, respectively, suggesting a pleural or extrapleural origin.",,,,,,,
,,abdominal x-ray anteroposterior view showing the air in the peritoneum (marked by arrow),,,,,
"chest x-ray (posteroanterior). marked cardiomegaly, rectified middle arch and free pulmonary fields.",,,,,,,
chest x-ray at presentation,,,,,,,
radiographs of the limbs of the baby.notes: all the thigh and leg bones are clearly displayed in the radiograph. the view of x-ray available did not clearly display the chest and vertebral and sacral structures.,,,,,,,
chest x-ray showing dextrocardia and a right subphrenic gastric bubble.,,,,,,,
,,an abdominal x-ray shows the coffee bean sign. the diagnosis is sigmoid volvulus.,,,,,
chest x-ray revealing cardiomegaly with dilated pulmonary artery and congested lung fields,,,,,,,
chest x-ray 1 day after renal transplantation. the tip of the central venous catheter (cvc) was below the carina.,,,,,,,
x-ray chest p. a. view in post-operative period,,,,,,,
"chest x-ray of patient 13 at the age of 6 months. note the narrow thorax, short ribs and elevated clavicles",,,,,,,
chest x-ray showing complete aeration of the lungs after implementation of airway pressure release ventilation mode,,,,,,,
pneumonic infiltration on chest x-ray.,,,,,,,
,,abdominal x-ray showing sigmoid volvulus with steel pan pattern.,,,,,
chest x-ray (the first hospitalization).,,,,,,,
chest x-ray showing diffuse bilateral patchy opacification in both lung fields,,,,,,,
chest x-ray view shows normal findings.,,,,,,,
portable chest x-ray on the second day revealed increased infiltration.,,,,,,,
chest x-ray before intercostal chest drainage placement,,,,,,,
predischarge chest x-ray of the patient,,,,,,,
the intraoperative chest ap x-ray shows pneumothorax (arrows) in the right lung with a mediastinal shift and subcutaneous emphysema.,,,,,,,
"chest x-ray showing a large left pleural effusion, a small right pleural effusion and some nodules and consolidation in both lungs.",,,,,,,
chest x-ray 6 months prior to admittance to our department. severe right-sided pneumonia and a suspected foreign object in the oesophagus.,,,,,,,
"chest x-ray showing bilateral, multiple, variable size, pulmonary nodules",,,,,,,
chest x-ray showing centrally placed globular heart,,,,,,,
chest x-ray showing left hydropneumothorax,,,,,,,
chest x-ray demonstrated herniation of abdominal content into the left pleural cavity (patient 1; seatbelt without airbag),,,,,,,
chest x-ray finding. complete resolution of pleural effusion on chest radiography after antitubercular therapy.,,,,,,,
"chest x-ray, 2nd day.",,,,,,,
x-ray chest in postero-anterior view 18 hours after atrial septal defect device closure showing evolving pulmonary edema,,,,,,,
chest x-ray. evidence of the pneumomediastinum and soft tissue emphysema extends to the root of the neck. the lungs demonstrate bilateral heterogeneous opacities,,,,,,,
chest x-ray after thrombectomy showing the proper position of central venous catheter in the superior vena cava (arrows).,,,,,,,
chest x-ray: an image from day 4 post-surgery revealed bilateral chylothorax.,,,,,,,
a 30-year-old female with respiratory symptoms and proved h1n1 infection.chest x-ray demonstrates left pleural effusion. pulmonary segment is also prominent.,,,,,,,
chest x-ray following central vein cannulation for a temporary hemodialysis vascular access via the right internal jugular vein showing that the catheter might have been misplaced in the right subclavian artery (arrows).,,,,,,,
chest x-ray on admission to the emergency department.,,,,,,,
"24-year-old african american male with missile pulmonary embolus. thoracic transverse ct. this image better illustrates the localization of the metallic fragment that was apparent on initial chest x-ray. from this slice of the thoracic ct, it appears that the bullet fragment is indeed lodged in a branch of the left pulmonary artery (white arrow).",,,,,,,
chest x-ray demonstrating cardiomegaly with cardiac resynchronization therapy pacing leads (arrowheads) and segmental defect of the right upper lobe (arrow).,,,,,,,
pneumocystis carinii pneumonia atypical features. chest x-ray shows focal consolidation of the left lung base,,,,,,,
chest x-ray shows improvement of the consolidation in the bilateral lung fields.,,,,,,,
,,abdominal x-ray showed distension sign of the stomach with air fluid level and duodenal gas.,,,,,
,,abdominal x-ray: dilated small intestine loops that confirm small intestinal obstruction,,,,,
chest x-ray representing acute lung injury.,,,,,,,
"ap chest x-ray of the patient on admission to the icu, showing bilateral infiltrate due to cardiogenic pulmonary oedema.",,,,,,,
chest x-ray. nasogastric tube misplacement to the right superior lobar bronchus,,,,,,,
por chest x-ray showing the left upper lobe lung mass.,,,,,,,
posteroanterior (pa) chest x-ray on postembolization day 104 demonstrates decreased size of the left pulmonary artery pseudoaneurysm (arrow). vascular plug and metallic vascular occlusion coils are present.,,,,,,,
"chest x-ray – massive atelectasis in both lungs, left-sided pneumothorax and mediastinal shift to the right",,,,,,,
chest x-ray showing mild cardiomegaly and very minimal pulmonary plethora,,,,,,,
chest x-ray of the boy at the time of the incident. the foreign body is visible in the chest. there is massive right pleural effusion and sign of esophageal perforation.,,,,,,,
chest x-ray illustrating the left-sided pleural effusion on initial presentation of the patient.,,,,,,,
the chest x-ray image revealed bilaterally increased non-homogeneous density on all zones,,,,,,,
,,"abdominal x-ray, supine position demonstrating thick intestinal wall.",,,,,
"chest x-ray showing pulmonary hemorrhage. diffuse alveolar opacification is apparent, particularly in the right upper lobe. bronchoalveolar lavage revealed fresh blood and hemosiderin laden macrophages.",,,,,,,
chest x-ray after one-year showed no visible residual cysts.,,,,,,,
chest x-ray shows a well-defined radio-opaque density in the right upper hemi thorax arising from the posterior part of the 3rd rib.,,,,,,,
chest x-ray.,,,,,,,
