computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,,,,abdominal computed tomography scan. the yellow arrow points to the wall thickening of the transverse colon.,,,,,
computed tomography scan of the chest showing right superior sulcus mass invading a vertebral body.,,,,,,,,,
"axial computed tomography scan of the chest, demonstrating near complete atelectasis of the left lung along with a loculated hydropneumothorax with multiple air pockets, suggestive of empyema.",,,,,,,,,
"computed tomography scan of the chest confirmed erosion of the lead through the pericardium and embedding into the intercostal/rib space. interestingly, no pleural or pericardial effusions, hemothorax, or pneumothorax were seen radiographically",,,,,,,,,
,,,,,,,,computed tomography scan showing the upper glottis area free of any tumor.,
,,,,,preoperative coronal computed tomography shows heterogeneity with calcification signs occupying the right sphenoid sinus with osteitis signs.,,,,
,,,,,,,,"computed tomography scan of 69-year-old woman with mucinous carcinoma in descending colon.notes: computed tomography scan shows large mass with heterogeneous enhancement. hypoattenuated area is greater than two thirds of tumor, and enhancement in solid portion of tumor is less than that of normal bowel wall (arrow).",
,,,,,,,,contrast enhanced computed tomography image of tumor compressing and displacing internal jugular vein.,
,,,computed tomography scan brain,,,,,,
,,,,,,,,"axial fdg-pet/ct image of a patient with nasopharyngeal undifferentiated carcinoma. the computed tomography gross tumor volume (ct-gtv) and the positron emission tomography (pet)-gtv are highlighted with red and light blue contours, respectively. for treatment purposes both findings were taken into account.",
,,,brain computed tomography 3 days after lumbar surgery. numerous air density is shown in the convexity area.,,,,,,
,,,computed tomography brain showing right caudate infarct (red arrow) and gross pneumocephalus.,,,,,,
,,,,,,,,"follow‐up contrast‐enhanced computed tomography (ct) imaging at three months. the anterior mediastinal mass (arrows) also shows marked interval growth and heterogeneous enhancement with a marked hypervascular portion (asterisk). also the fat component within the tumor (arrowhead), which was not clear on baseline ct, is clearly demonstrated.",
,ct of the thorax showing the mass lesion in the upper lobe of the right lungct - computed tomography.,,,,,,,,
,,,,computed tomography scan with arrow head showing abdominal aortic aneurysm.,,,,,
,,,,,coronal computed tomography image of patient's neck showing extensive subcutaneous emphysema tracking toward the mediastinum (white arrows),,,,
,,,,,coronal view of patient’s abdominopelvic computed tomography,,,,
positron emission tomography–computed tomography scan of chest showing multiple pulmonary nodules.,,,,,,,,,
,,,,,,,,,computed tomography (ct) scan showing intrathoracal displacement of two-thirds of the liver.
,,,,"abdominal contrast computed tomography revealed that a mass, approximately 7.0 cm in diameter (black arrows), was detected in the left inguinal region and the tumor involved the external iliac vein (white arrow).",,,,,
,,,,,,,,postoperative head computed tomography (ct) prior to discharge reveals a left sided craniectomy and cranioplasty procedure with resection of the tumor components both intracranial and extracranial. there has been resolution of mass effect and midline shift (arrow).,
,,,,"abdominal computed tomography indicating a hepatic lesion with hyperdense walls, diffuse calcification, and foci of fat in the interior.",,,,,
standard computed tomography of the chest depicting the lobulated posterior mediastinal portion of the crescent of abnormal paraspinal tissue as well as the fissural nodularity.,,,,,,,,,
,,,an emergency brain angio-computed tomography (a-ct) evidenced thrombosis of the m2 tract of the right middle cerebral artery.,,,,,,
,,,computed tomography of the brain of patient b,,,,,,
an image of a chest computed tomography scan with intravenous contrast shows filling defects in the branch of pulmonary artery.,,,,,,,,,
,coronal reconstruction of computed tomography thorax showing the presence of the sequestrated lung tissue in the left lower lobe,,,,,,,,
,,,,,,,"a computed tomography of patient 2. large left polypoid mass eroding the medial and superior wall of the left orbit, touching the globe and extending into the sphenoid recess. bilateral frontal, maxillary, and sphenoidal sinusitis, and right ethmoidal sinusitis are seen. the right middle turbinate is what is left from a previous partial turbinectomy.",,
,,,,"abdominal contrast computed tomography. the tip of the ileus tube stops at the origin of the obstruction. the site of the obstruction appears to be the hernial orifice and internal herniation of the small bowel is apparent past that point. a: ileus tube balloon, b: internal herniation of the small bowel.",,,,,
"on april 7th 2013, the chest computed tomography scan revealed the left lower lung with patchy inflammation.",,,,,,,,,
,,,,computed tomography of the abdomen and pelvis (large peri-aortic hematoma [red] with abdominal aortic aneurysm [white].,,,,,
a three-dimensional 3-d chest computed tomography scan on the 17th post-operative day shows an intact large airway,,,,,,,,,
,,,brain computed tomography (ct) scan shows infarction in right occipital lobe,,,,,,
,,,,,,,,,liver injury with intraperitoneal contrast extravasation visible on computed tomography scan.
preoperative computed tomography scan. loculated fluid collections protruded into the left lateral chest wall and posterior back (12.8 cm×8.0 cm).,,,,,,,,,
,,,,,,,,"computed tomography scan of the metastatic tumor. the computed tomography scan shows a 6.5×6.0-cm mass compressing the gastric antrum and body, suggestive of a metastatic node of the omentum.",
,,,,,,coronary computed tomography angiogram showing a calcified nonobstructive plaque in the proximal left anterior descending coronary artery.,,,
,tree-in-buds of bronchiolitis obliterans in a 28-year-old woman. bronchiolitis obliterans was diagnosed on spirometry and transbronchial lung biopsy 16 months after bone marrow transplantation for chronic myelocytic leukemia. inspiratory high resolution computed tomography scan shows decreased lung attenuation and subsegmental bronchial dilatations in left lower lobe. tree-in-bud pattern is noted in subpleural portion of posterior basal segment of left lower lobe (arrow).,,,,,,,,
,,,,,coronal computed tomography demonstrating aortoiliac vascular occlusion.,,,,
"computed tomography of the chest showing numerous cavitary pulmonary nodules located peripherally, representing septic pulmonary emboli in the right lung",,,,,,,,,
chest computed tomography after prednisone treatment of 20mg/day. chest computed tomography showing improvement of patchy ground-glass opacities in the bilateral lung.,,,,,,,,,
"on enhanced chest computed tomography (ct), a consolidated patch with central necrosis over the lower left lung (white arrow)",,,,,,,,,
"axial chest computed tomography showing an ascending aorta dilation (45.7 mm). this incidental finding was not mentioned in the original report. arrows indicate a thoracic aorta atherosclerosis that, conversely, was mentioned in the original report.",,,,,,,,,
,,,,"postoperative thoraco-abdominal computed tomography showed a large mass having 60 hounsfield units (arrow), which was inconclusive because of ambiguous value of hounsfield unit.",,,,,
,,,,,,"immediate postoperative sagittal ct angiographic image demonstrating patency across the va injury repair site. ct, computed tomography; va, vertebral artery.",,,
,,,,,,"computed tomography (ct) scan from 2.5 months before presentation, showing cervical lymphadenopathy (yellow arrow), internal jugular vein (blue arrow), and an ectatic common carotid artery (cca; red arrow).",,,
,,,"computed tomography brain scan revealed ischemic leukoencephalopathy as evidenced by multiple hypodensities involving the left basal ganglia, right internal capsule, and bilateral frontal white matter consistent with areas of chronic infarcts.",,,,,,
,,,,,preoperative cone-beam computed tomography scan coronal view of mixed lesion,,,,
,,,,,coronal view of abdominopelvic computed tomography reveals severe hydronephrosis of bilateral kidneys. note a round lesion in the left kidney (arrow).,,,,
,,,,,contrast-enhanced computed tomography abdomen coronal sections. thrombus in the portal vein (white arrow),,,,
computed tomography of chest revealing dilated aortic root and aneurysmal ascending aorta,,,,,,,,,
,,,,abdominal computed tomography (ct) revealed fluid accumulation in the paracolic gutter on the right side.,,,,,
,,,,,,"computed tomography showing a bulky low-density mass at the hepatic hilum predominantly in the right lobe (arrowheads), involving the right portal vein (black arrow), and attached to the left hepatic artery (white arrow) and nearly intact left portal vein",,,
,,,,abdominal computed tomography showed pseudoaneurysm formation from right internal iliac artery and massive retroperitoneal hematoma,,,,,
,,,,thoraco-abdominal ct scan discloses the presence of colonic interposition (asterisk) with posterior displacement of the liver and pressed right atriumct - computed tomography,,,,,
chest computed tomography (ct) scan revealed a massive pneumomediastinum associated to a large subcutaneous emphysema of the chest wall soft tissues.,,,,,,,,,
,,,,abdominal computed tomography sagittal view demonstrates embolus (arrow) in the distal aorta to the level of the third lumbar vertebra.,,,,,
,,,,,,,transverse computed tomography scan. the figure shows a cross-sectional scan of the mass occupying the right lobe of the liver.,,
high-resolution computed tomography image of the chest at presentation (upper-lung zones). a mass-like lesion with nodules in the right lung (yellow circles) is shown.,,,,,,,,,
"axial contrast-enhanced chest computed tomography at the t8 level demonstrating a large mass in the right paraspinal region with significant bony erosion of the adjacent ribs and vertebral body, invasion of the spinal canal, and extension into the pleural space.",,,,,,,,,
,,,,,"coronal section of positron emission topography–computed tomography, demonstrating diffusely increased metabolic activity in the left thyroid, skull, liver, and soft tissue. arrows highlight regions of increased metabolic activity.",,,,
chest computed tomography (ct) scan obtained 5 years after the first surgery. a contrast-enhanced ct scan of the chest reveals a well-defined large solitary pulmonary nodule (arrow) in the right middle lobe,,,,,,,,,
chest computed tomography: admission ct displaying diffuse hazy opacities in both lung fields with occasional nodular formation.,,,,,,,,,
,,,,,,,,"the neck computed tomography reveals a well-demarcated solid mass at the superior and lateral aspect of the left thyroid gland, suggesting either a primary thyroid mass or soft tissue tumor.",
,,,,abdominal computed tomography scan: axial image showing a solid mass of the pancreatic head.,,,,,
,,,,,coronal image of computed tomography scan demonstrating right-sided diaphragmatic hernia,,,,
,,,,"abdominal computed tomography scan with primary tumor (14 × 10 × 12 cm) in close relation to the uterus, with peritoneal nodules and ascites (white arrow).",,,,,
,,,the computed tomography scan of the brain showed the aneurysm of the basilar tip (arrow).,,,,,,
,,,,,,,,,"computed tomography of the abdomen showed multiple, round low-density shadows in the liver"
,,,,abdominal computed tomography shows an enlarged liver and kidneys with multiple cysts in case 1.,,,,,
,,,,"abdominal contrast-enhanced computed tomography (ct) and histopathology. abdominal contrast-enhanced ct on day 10 of admission revealed increased inflammation surrounding the rectum, suggestive of proctitis (arrow)",,,,,
,,,,,,computed tomography angiogram showing occlusion of superior mesenteric artery (arrow),,,
,,,,,,,,"cect demonstrated a tumor in the right quadrant of the abdomen, size of about 18 × 14 mm in diameter (arrow). cect = contrast-enhanced computed tomography.",
,,,"axial computed tomography scan with a bone window demonstrates a marked bulging of the brain tissue, which caused the mid-line and the ventricular system to shift to the left.",,,,,,
computed tomography (ct) scan of the chest showing diffuse patchy ground glass opacities.,,,,,,,,,
axial computed tomography image through the lower chest showing the right kidney and right ureter behind the diaphragm and liver anterior to diaphragm with right ureter exiting through the right bochdalek foramen,,,,,,,,,
,,,"case 3: computed tomography brain showing a large infiltrative mass involving the petrous, tympanic, and mastoid parts of the left temporal bone with intracranial extension.",,,,,,
,,,,,coronal computed tomography (ct) reconstruction with mediastinal emphysema and subcutaneous emphysema in both axillas and lower neck regions in patient 1 with anorexia nervosa (an),,,,
,,,,abdominal contrast enhanced computed tomography demonstrating a large infiltrating mesenteric mass (arrows).,,,,,
contrast-enhanced axial slice computed tomography image of the upper chest region shows the tracheostomy tube (arrowhead) and the innominate artery (arrow). the tracheostomy tube was tightly attached to the innominate artery.,,,,,,,,,
,,,"computed tomography brain showing right parietal hematoma, fracture temporal bone and multiple metallic foreign bodies in scalp",,,,,,
,,,,"abdominal ct shows a focal dissecting flap in the proximal sma (white arrow) with severely narrowed true lumen. ct, computed tomography; sma, superior mesenteric artery.",,,,,
chest computed tomography scan showing dextrocardia,,,,,,,,,
,,,,,"coronal computed tomography image showing bilateral orbital masses, right temporal swelling and masses in bilateral maxillary and ethmoid sinuses",,,,
,,,,abdominal computed tomography showing regional mesenteric lymphadenopathy.,,,,,
,,,,,coronal computed tomography scan of the facial region obtained at the time of admission.fractures of the bilateral mandibular condyle (white arrows) were noted.,,,,
,,,,,,computed tomography angiography of the carotid arteries. a large embolus in the left carotid artery (arrowhead) is present.,,,
,,,,a large cyst with thin wall and peripheral calcified lesions was revealed on abdominal computed tomography scan.,,,,,
,,,,axial contrast-enhanced computed tomography (ct)axial contrast-enhanced computed tomography (ct) image of the abdomen showing nail tip adjacent to the abdominal aorta (arrow).,,,,,
,,,,,,,,,computed tomography scan of the abdomen showing a hypoperfused mass in the anterior portion of the median epigastrium with fatty density (→) and a thin layer of free fluid surrounding the liver.
,"computed tomography scan of the thorax showing single nodular mass in the right lung of about 4 cm in diameter, evident 1 year after the pelvic recurrence resection.",,,,,,,,
,,,,,coronal computed tomography angiography image demonstrating bony dehiscence at the sphenoid segment of the internal carotid artery (white arrow),,,,
,,,,,recurrent behcet disease in a 30-year-old woman. coronal computed tomography enterography image shows an ulceration with peripheral enhancement at the anastomosis site of ileocecectomy (arrows).,,,,
,,,,abdominal computed tomography showing dilated common bile duct (arrow),,,,,
,,,,,,,,pyloric gastrointestinal stromal tumors in a 47-year-old male — axial contrast-enhanced computed tomography image showing relatively homogenously enhancing mass (arrow) in pylorus of stomach with necrotic center having submucosal as well as intramural component,
computed tomography scan of the chest showing the tumour thrombus (th) in the right atrium.,,,,,,,,,
,,,computed tomography image: transverse section of the brain 1 month after the onset of illness. this section shows the infarctions of the right cerebral cortex,,,,,,
"chest computed tomography (ct) scan of a 59-year-old patient, ex-smoker, retired farmer with evening fever for 2 weeks, weight loss, and pleuritic pain. chest radiograph with nodular lesion in the left inferior lobe. chest ct with juxta-pleural lesion in the left inferior lobe. a thoracotomy biopsy was performed. the histopathologic analysis showed granulomatous processes with areas of necrosis and fungus consistent with paracoccidioides brasiliensis, confirmed by fungus growth in sabouraud agar.",,,,,,,,,
"chest computed tomography scan. the arrow indicates a malignant bone tumor, such as chondrosarcoma or osteogenic sarcoma, with an accompanying pathologic fracture on the left clavicle.",,,,,,,,,
,,,,,coronal contrast-enhanced computed tomography image shows an enhancing mesenteric nodule in distal small bowel mesentery (arrow) and dilated small bowel loops,,,,
,,,,,,,,,computed tomography (ct) of the abdomen showing a large liver abscess.
,,,,,,"ct pulmonary angiography showing hypodense filling defects in right and left pulmonary artery.abbreviation: ct, computed tomography.",,,
myelomatous pleural effusion on chest computed tomography.,,,,,,,,,
axial view of patient’s contrast-enhanced chest computed tomography. mediastinal windows of thorax ct scan revealed a homogeneous cyst.,,,,,,,,,
"axial nonenhanced chest ct scan.notes: this chest ct scan shows air dissecting through the mediastinal spaces (down arrow) and the subcutaneous soft tissue (right directional arrow). air is also noted within the extradural space in the lower cervical and the upper thoracic spine (up arrow).abbreviation: ct, computed tomography.",,,,,,,,,
,,,,abdominal computed tomography scan of a cystic lesion anterior to the pancreatic tail adjoining the splenic flexure and colonic diverticulosis.,,,,,
,,,,"abdominal computed tomography scan, axial view, showing apparent hepatomegaly and a single kidney.",,,,,
"computed tomography scan (axial section) of thorax showing a large heterogeneously enhancing soft tissue mass lesion in the right perihilar region involving right lower lobe extending into the mediastinum with loss of fat planes with esophagus, aorta, and right crus of the diaphragm. there is no chest wall or pleural involvement",,,,,,,,,
,,,,,,,,,"computed tomography (ct) with contrast demonstrated a 11 mm low-density lesion with mild ring enhancement on the rim in the arterial phase, located in the liver segment vi."
chest computed tomography scan (scale w500:l50): pulmonary windows. axial view: bilateral lung miliary pattern (arrows) with little bilateral pleural effusion.,,,,,,,,,
"chest computed tomography (ct) scan of a 70-year-old patient, retired farmer, smoker, alcoholic exhibits symptoms compatible with chronic obstructive pulmonary disease, progressing with loss of weight, cough, hemoptysis, and increased dyspnea. chest radiograph with right perihilar opacity. chest ct confirmed the finding. fibrobronchoscopy with endobronchial biopsy of the lesion was performed and showed the presence of acid-fast bacilli, with confirmation of mycobacterium tuberculosis in culture media.",,,,,,,,,
,,,,abdominal computed tomography shows a 6.5 cm sized multiloculated cystic mass in left retroprertoneal space just below spleen.,,,,,
,,,computed tomography scan of brain without contrast showing brain atrophy disproportionately advanced for patient’s age. arrows pointing to areas of atrophy,,,,,,
"female, 69-year-old. computed tomography examination of the chest. solid cystic mass in the upper pole of the right hilum",,,,,,,,,
computed tomography scan of chest shows large hypoattenuated mass in the right hemithorax.,,,,,,,,,
,,,,abdominal computed tomography scan showing non-invaded renal veins.,,,,,
computed tomography-chest: right lung fibrosis and volume loss,,,,,,,,,
patient’s chest computed tomography on admission,,,,,,,,,
chest computed tomography shows areas of ground-glass attenuation and a reticular micronodular appearance in both lung fields.,,,,,,,,,
,,,,abdominal computed tomography of the abdomen showing an ileocecal wall thickening,,,,,
,,,,,,,"radiological presentation of an arachnoid cyst (ac). computed tomography (ct) scan of a large, left-sided temporal ac. note the splitting of the sylvian fissure and the compression of the frontal and temporal lobes, all classical features of a galassi type 3 cyst [10]. the midline is displaced 6 mm to the right. note the enlargement of the left cranial vault suggesting that the ac was present before the neurocranium was fully developed.",,
,,,,"computed tomography showing a 13 × 10 × 16 cm abscess (a), compressing the liver (l); abdominal aorta (ao); kidney (k); spleen (sp); stomach (st).",,,,,
computed tomography of the chest shows the intraluminal occlusion in the left main bronchus causing left lung collapse (coronal view).,,,,,,,,,
chest angio-computed tomography revealing hypoplasia/agenesis of the right pulmonary artery (white arrows) and hyperinflation of the pulmonary parenchyma (red arrows).,,,,,,,,,
chest computed tomography showing a right hilar mass involving mediastinal structures.,,,,,,,,,
computed tomography angiography of the chest showed diffuse abnormal wall thickening of the descending thoracic aorta.,,,,,,,,,
computed tomography of the chest (lung window) showing a small focal consolidation within the posterior segment of the right lower lobe (arrow) and mild pleural effusion (arrowheads).,,,,,,,,,
,,,,"opacified urinary bladder with excreted contrast. oral contrast-enhanced computed tomography performed over 10 hours after the initial iv contrast-enhanced computed tomography, which demonstrates persistent upper abdominal pneumoperitoneum, ascites, and excreted iv contrast opacifying the urinary bladder.",,,,,
,,,,,"coronal view on contrast-enhanced computed tomography shows a spiculated mass with central calcification (arrow), connected to the cecum, and compatible with perforated appendicitis.",,,,
"chest computed tomography scan (september 9th, 2011) of case 2 showed the lesion in right lung had markedly decreased and the cavity disappeared.",,,,,,,,,
,,,,,,,,,"computed tomography of abdomen and pelvis. the liver is enlarged, measuring up to 17 cm in width and craniocaudal dimension. the contour is smooth. the hepatic parenchyma is homogenous without a focal mass. there is no intrahepatic biliary dilatation. the portal and hepatic venous systems are patent and nondilated."
,preoperative image. hypermetabolic lesion considered to be a distant metastasis in the left upper lung was detected on the 18-f-fluorodeoxyglucose positron emission tomography-computed tomography scan.,,,,,,,,
,,,,abdominal computed tomography. cystic mass (asterisk) between the cecum and the right parietocolic recess,,,,,
,high-resolution computed tomography (hrct) of the lung. a 13 mm nodule in seen in the right middle pulmonary lobe.,,,,,,,,
positron emission tomography-computed tomography scan of the chest. a positron emission tomography-computed tomography scan showed intense 18f-fluorodeoxyglucose uptake in the nodular shadow with a maximum standard uptake value of 13.9,,,,,,,,,
,,,,,,,,computed tomography (ct) diagnostic demonstrating signs of ileus. open surgery revealed tumor infiltration causing a mechanical ileus. the latter was not identified by ct-scan.,
,,,,"abdominal computed tomography shows appendiceal wall thickening, suggesting appendicitis with microperforation and abscess formation (arrow, abscess).",,,,,
,,,,,,computed tomography (ct) angiogram shows bilateral renal artery stenosis. rt. kidney is atrophied with multifocal renal artery stenosis.,,,
"computed tomography chest showing a large, lobulated, homogenous soft tissue anterior mediastinal mass (marked t). fat planes with the superior vena cava, brachiocephalic vein and pericardium are maintained",,,,,,,,,
computed tomography of the chest showing the right breast nodule with irregular margins,,,,,,,,,
,"computed tomography scanner after intra-venous injection of iodinated contrast medium showing a left enhanced and dilated paravertebral vascular structure with intraforaminal, intraspinal and extradural extension (red arrow). 1: lung; 2: aorta; 3: vertebra; 4: medulla; blue arrow: epidural space.",,,,,,,,
,,,,,"preoperative coronal computed tomography (ct) of sinuses, demonstrating left frontal recess and right maxillary sinus.",,,,
chest computed tomography: anterior mediastinal mass on right and left main stem bronchi,,,,,,,,,
,,,,,,,computed tomography scan - large heterogenous mass lesion in anterosuperior mediastinum contiguous with small nodule in the inferior left lobe of thyroid,,
,,,,,"computed tomography imaging of the coronal reconstruction indicating the right renal mass (long arrow), the right adrenal metastatic mass (arrowhead) and the left adrenal metastatic mass (short arrow).",,,,
,,,,abdominal computed tomography scan showing retroperitoneal air surrounding the right kidney.,,,,,
"chest computed tomography of left lower lobe superior segment cavitary lesion with air fluid level, largest diameter 5.59 cm.",,,,,,,,,
,,,,,,,,computed tomography imaging. the tumor extended from the left orbit to the cheek.,
imaging study. computed tomography of the chest reveals a 2.0 × 1.6 cm mass and a stable nodule in the left lower lobe.,,,,,,,,,
contrast-enhanced computed tomography scan of chest in a woman with uterine arteriovenous malformation and glue embolization. the axial image of computed tomography chest shows the presence of linear hyperdensities within the segmental branches of bilateral pulmonary artery (arrow) suggesting glue embolization in the pulmonary artery.,,,,,,,,,
,,,,,,"coronary reconstruction of contrast-enhanced computed tomography scan. the 2 small white arrows from left to right show the other bronchial aneurysm and phrenic artery aneurysm, respectively.",,,
,,,,"axial contrast-enhanced computed tomography image through the mid-abdomen showing the left kidney (k) with an infiltrating, heterogeneous inflammatory mass (arrowheads) involving the anterior and posterior pararenal spaces with extension through the posterior abdominal wall and skin",,,,,
,,,,abdominal and pelvic computed tomography findings showing a huge mass extending into the gastric fundus. an approximately 7.5-cm sized irregular infiltrative solid mass with multiple septated cystic portions originating from the pancreas had invaded the gastric body and extended to the gastric fundus (arrow).,,,,,
chest computed tomography showing pulmonary embolism.,,,,,,,,,
,,,,,,axillary computed tomography scan shows the expansion of the dissection to the iliac artery.,,,
,,,,,,,,"plain computed tomography. a large uterine tumor (red square) compressed the distal ureter of the transplanted kidney (red arrowhead), causing hydronephrosis (red arrow).",
,,,,,postoperative coronal computed tomography (ct) of the right maxillary sinus 2 years after revision ess.,,,,
,,,,abdominal computed tomography at the time of recurrence. multiple liver metastases with portal thrombosis were found 8 weeks after surgery.,,,,,
"high resolution computed tomography (hrct) of the chest showing hilar lymphadenopathy (arrow) and diffuse reticular nodular lesions over bilateral lung, with left residule pneumothorax and subcutaneous emphysema over left chest wall.",,,,,,,,,
computed tomography images before treatment. a chest computed tomography scan before treatment shows right pleural diffuse thickening (arrows).,,,,,,,,,
,,,,abdominal computed tomography findings. the imaging indicates a mature cystic teratoma of the left ovary and right subhepatic space,,,,,
contrast enhanced computed tomography scan of chest showing sub-carinal lymphadenopathy. (arrow indicates sub-carinal lymphadenopathy).,,,,,,,,,
,,,,,coronal reconstruction of computed tomography (ct) scan reveals the lack of the outer table and the thinning of the inner table due to the expansive intradiploic cystic mass. intratumoral calcification is shown on the right side.,,,,
computed tomography scan of the chest:soft tissue mass lesion in posterior chest wall with thorax extension accompanied by pleural thickening,,,,,,,,,
,,,,abdominal computed tomography scan reveals an enhanced mass in the upper pole of the left kidney and an enlarged paraaortic lymph node.,,,,,
,,,unenhanced brain computed tomography scan (axial view): ectopic multiple gross calcifications of the tentorium are visible.,,,,,,
chest computed tomography scan showing a mass in the right lung,,,,,,,,,
,,,,coronal reformatted multislice abdominal computed tomography displaying a terminal ileum segment in the right-lower quadrant with marked thickening when compared to the adjacent ileal segments and showing mild enhancement after oral and intravenous contrast agent administration.,,,,,
,,,,computed tomography of abdomen demonstrating left-sided lower pole renal tumour (highly suspicious of renal cell carcinoma) together with large abdominal aortic aneurysm,,,,,
,,,,upper abdominal computed tomography scan revealing an abscess of 7 cm in the right liver lobe with a small margin of liver tissue to the right hemidiaphragm and subcapsular extension,,,,,
,,,,,plain computed tomography coronal section of the swelling,,,,
,,,,,,,computed tomography showing large left lower lobe consolidation.,,
,,,,computed tomography angiogram of abdomen and pelvis. 1 intra-abdominal pregnancy. 2 hematoma in cul-de-sac. 3 uterus,,,,,
,,,,postoperative abdominal pelvic computed tomography. massive fluid collection was noted in the intraperitoneal cavity (asterisks).,,,,,
,,,,,,,"contrast-enhanced computed tomography thorax (mediastinal window) revealed a mass lesion in all segments of the right lower lobe and alveolar consolidation in posterior segment of right lower lobe and right middle lobe, multifocal consolidation in the right upper lobe and smooth contoured nodules in the left lower lobe",,
,,,,,,,,,"computed tomography scan of abdomen showing multiple, hypodense, cystic lesions of varying sizes scattered throughout liver parenchyma s/o abscesses"
intravenous contrast enhanced computed tomography of the chest showing severe calcifications (arrows) of both aortic (a) and mitral (b) valves.,,,,,,,,,
,,,,,,computed tomography scan show the ischemic liver necrosis after the right hepatic artery embolization.,,,
"computed tomography scan of the chest demonstrates widespread bilateral lung infiltrate, with centrilobular small nodules and tree‐in‐bud appearance peripherally, consistent with panbronchiolitis.",,,,,,,,,
,,,,"abdominal computed tomography (ct) revealing submucosal air-fluid cysts. arrows demarcate submucosal gas within the wall of the left colon, pneumatosis coli.",,,,,
,"computed tomography of the thorax showed a soft tissue density nodule with spiculated margins and vascular convergence in the lower lobe, measuring 3 × 2 cm, in the right lung.",,,,,,,,
,,,,,coronal image of contrast enhanced computed tomography of abdomen and pelvis showing the cystic mass adherent to the psoas muscle.,,,,
computed tomography of the chest showing extensive diffuse irregular nodular and airspace opacities mainly affecting the right middle lobe.,,,,,,,,,
,,,,,,"computed tomography (ct) scan that was performed six months after surgery, revealed the patency of the splenic artery and vein.",,,
computed tomography of the chest depicting filling defects in the pulmonary arterial vasculature secondary to pulmonary embolism.,,,,,,,,,
,,,,,,,,computed tomography at 6 months after the left adrenalectomy shows right adrenal tumor (5.0 × 1.8 cm).,
"computed tomography scan of the chest. transverse section obtained at the level of the clavicle, showing an extensive mass isodense to fat in the posterior neck, trapezius, and deltoid regions, with no evidence of infiltration of adjacent structutres",,,,,,,,,
,,,,,,,,computed tomography (ct) scan showing a 3.4-cm×8.6-cm tumor in the middle pole of the left kidney with medullar development heterogeneously enhanced by the contrast agent.,
chest computed tomography (ct) image showing pneumomediastinum and bilateral diffuse ground glass opacity (ggo) lung infiltration in the peribronchial area in both lower lung fields in the initial phase observed in a fatal case (28 years old and pregnant female).,,,,,,,,,
computed tomography of the chest with contrast showing a linear hypodensity within the main pulmonary artery suggestive of an intimal dissection flap of the trunk of the main pulmonary artery without dilation.,,,,,,,,,
,,,,,,computed tomography demonstrating an air embolism in the left middle cerebral artery distribution (arrow),,,
,,,,abdominal ct findings. computed tomography shows aggravated abnormal wall thickening at the anastomosis site in the small bowel.,,,,,
contrast-enhanced computed tomography image of the upper chest shows a peripherally - enhancing lesion with central low attenuation in subcutaneous tissue of the right suprascapular region (arrow),,,,,,,,,
,,,,,,computed tomography angiography image of the right groin demonstrates a large pseudoaneurysm of right common femoral artery and patent endovascular aortic repair stent graft,,,
,,,,,,,,computed tomography reveals a tumor in the third portion of the duodenum.,
chest computed tomography showed a relapse of the left-sided pleural effusion associated with a thickening of the parietal pleura seven months after the first event.,,,,,,,,,
,,,,,computed tomography image in the coronal plane demonstrating an homogenous left ventricular defect with a distinct border (arrow).,,,,
coronal computed tomography (ct) chest showing acute respiratory distress syndrome (ards).reconstituted coronal ct chest illustrating right-sided bullous disease and left-sided apical bullous disease (white arrows). also shown is left-sided consolidation with minimal right-sided consolidation consistent with ards (black arrows).,,,,,,,,,
,,,,,,,,image from a computed tomography scan demonstrating an endophytic tumor arising in a challenging location in the gastric antrum.,
,,,,"49-year-old lady with complaints of bloating sensation in the abdomen and a steadily increasing abdominal girth, which was subsequently diagnosed as angiomyolipoma of left kidney. contrast enhanced computed tomography scan axial section film of abdomen reveals a lipomatous neoplasm 40 cm × 24 cm × 10 cm in dimension (hu < –20 hu) replacing the entire left kidney, while displacing the rest of the abdominal contents (arrows) toward the other side of the midline.",,,,,
,,,,"abdominal computed tomography enhanced scan (july 7th, 2014) of case 2 revealed multiple metastases in the right lobe of the liver.",,,,,
computed tomography of chest showed aortic intramural hematoma (arrow).,,,,,,,,,
,,,,"abdominal computed tomography showed a huge, ruptured hepatocellular carcinoma with haemoperitoneum.",,,,,
,,,,,"coronal maximum intension projection reconstruction from excretory phase of the current computed tomography scan. this image shows the cyst with contrast inside, free fluid on the retroperitoneal space (big arrow) and the stone obstructing the left ureter (small arrow).",,,,
preoperative chest computed tomography shows massive pleural effusion and passive atelectasis in the right middle and lower lobe.,,,,,,,,,
,,,,,axial-coronal computed tomography imaging shows a giant right subclavian aneurysm of 12 cm diameter.,,,,
chest computed tomography scan without contrast showing polypoid endoluminal lesion in the proximal right trachea (arrow).,,,,,,,,,
,,,"computed tomography scan of brain demonstrating the sunken bone flap into the depths, compressing the brain parenchyma and causing midline shift and mass effect",,,,,,
computed tomography scan of the chest revealing resolution of nodule at 3 months.,,,,,,,,,
,,,,,coronal view of the computed tomography (ct) of the abdomen showing grossly dilated thickened small bowel loops up to the region of right iliac fossa.,,,,
