mri and chest,mri and lung,mri and lungs,mri and brain,mri and abdominal,mri and coronal,mri and artery,mri and lobe,mri and tumor,mri and liver
,,,,,"mri coronal scan: dandy-walker variant manifesting an enlarged cisterna magna, a slightly hypotrophied cerebella vermis, and slightly dilated ventricles (1, 2).",,,,
,,,,,t1 weighted contrast enhanced mri scan coronal sections through the orbits showing contrast enhancing lacrimal gland lesions with central hypodense areas.,,,,
,,,,,,mri gadolinium enhanced image showing the pa confluence and stump positioned to the left of the dks with lpa origin kinking. na : neo-aorta. s: stump. r: right pulmonary artery. l: left pulmonary artery. da: descending aorta,,,
,,,,,,the tumor between the parapharyngeal space and the upper pole of right thyroid lobe was narrowing the airway passage and displacing the carotid artery and the internal jugular vein laterally on mri.,,,
,,,"hyperintense depiction of the left temporal lobe and the insula in t2wi sequence of brain mri scan, indicative for hsv encephalitis.",,,,,,
,,,repeat mri brain after two weeks showing complete resolution,,,,,,
,,,,,,,mri flair sequence showing hyperintense signals in the left frontal and occipital lobes.,,
,,,,,contrast enhanced t1w coronal mri showing a large pituitary adenoma with surasellar extension,,,,
,,,,,,,,t1-enhanced mri showing a vestibular schwannoma tumor extension grade 4a (maximal diameter 28 mm) in a 54-year-old man presenting with hearing loss and headache,
,,,"mri-flair axial study of the brain (patient #1) showing cortical and subcortical spots with a mild mass effect, with major spreading in the cerebellum (right hemisphere > left hemisphere).",,,,,,
,,,,,preoperative t2 weighted coronal mri of a shoulder showing cyst formation at spinoglenoid notch.,,,,
,,,,,"mri of the left thigh, coronal section, showing hyperintense signals on t2 weighted images (white arrow).",,,,
,,,"flair mri of the brain following resection. the meningioma was clearly resected, which resolved brain compression.",,,,,,
,,,mri of the brain demonstrating punctate areas of intraparenchymal hemorrhage.,,,,,,
,,,,"abdominal mri, the left renal mass is evident.",,,,,
,,,"mri of the brain, 6 weeks after embolectomy, showing stable disease.",,,,,,
,,,brain mri with and without contrast showing bihemispheric subdural hematomas.,,,,,,
,,,brain mri showing multiple gadolinium-enhancing lesions (arrows).,,,,,,
,,,"axial flair mri demonstrating bilateral occipital lobe hyperintensity, suggestive of blood or edema. because the images from other brain mri sequences were normal, the patient was diagnosed with pres.",,,,,,
,,,mri brain axial section showing putamen necrosis,,,,,,
,,,,,,"axial 3d time of flight mri of the head, noting absence of the carotid canal and internal carotid artery at the skull base (oval). for comparison, note the right-sided internal carotid artery (arrow) at the skull base.",,,
,,,,,,t2 magnetic resonance imaging (mri) demonstrating flow void in the distal left vertebral artery (arrow) concerning for vertebral artery dissection.,,,
,,,magnetic resonance imaging (mri) brain with and without contrast: increased t2 enhancement of the c3 vertebral body concerning for osteomyelitis.,,,,,,
,,,"mri brain demonstrating mild dilatation of the dominant right transverse sinus, compatible with intracranial hypotension.",,,,,,
,,,mri brain t 1 axial cut. arrow pointing to periventricular heterotopia. it also shows resection cavity in the right temporal lobe.,,,,,,
,,,"mri of brain t1 axial + gadolinium with resolution of previously visualized enhancing lesion, after anti-tb treatment.",,,,,,
,,,,,"zystic-solid teratoma in the left abdomen (case 2; mri, t1, coronal).",,,,
,,,,,"coronal mri images revealed large kidneys, multiple hepatic, renal and pancreatic cysts and dilatation of biliary system",,,,
,,,,,coronal plane pelvic mri showed an irregular mass with crenulated margins occupying the urethra and vagina.,,,,
,,,,,"whole-body mri with a coronal stir sequence in a15-year-old male patient with a lesion in the right distal femur and a histological diagnosis of ewing's sarcoma showed surrounding soft-tissue components (arrow), but no other area of abnormal signal intensity suggestive of malignancy",,,,
,,,,,coronal magnetic resonance imaging (mri) of the left leg reveals the pseudoaneurysm of the posterior tibial artery.,,,,
,,,,,,,,mri (t2 weighted) axial view of same tumor as in figure 2 (example 1),
,,,mri angiogram shows faint vascularity of left half of brain. the left external carotid and is enlarged and long giving supply to facial haemangioma (black arrows).,,,,,,
,,,"mri of brain with contrast demonstrating fluid and enhancement within the mastoids, more extensive on the left, suggestive of mastoiditis.",,,,,,
,,,"brain mri, axial view with contrast enhancementa large temporal lobe mass bridging the skull base into the left pterygomaxillary region.",,,,,,
,,,"on brain mri (t1, t2), the space-occupying lesion is evident in the left occipital lobe.",,,,,,
chest mri (coronal t1 gradient echo sequence with intravenous gadolinium contrast enhancement) in a 50-year-old male patient with castleman disease. the left paraspinal pleural-based mass demonstrates homogenous enhancement following intravenous gadolinium administration (arrow).,,,,,,,,,
,,,"mri brain: increased symmetric t2/flair signal in medial temporal, hippocampi, medial thalamus, and insular regions",,,,,,
,,,brain mri showing left parietal lobe metastatic lesion.,,,,,,
,,,,,,,,sagittal mri t1 imaging showing residual fat and no signs of tumor recurrence,
,,,"flair-weighted images of the brain mri study, showing bilateral symmetrical regions of hyperintensity in the pulvinar and the dorsomedial nuclei of the thalami (“hockey stick sign”)",,,,,,
,,,mri brain with arrow showing left cortical dysplasia.,,,,,,
,,,cranial mri revealed a lacunar infarction localized in the left midbrain (arrow) appearing hyperintense in t2 sections.,,,,,,
,,,"brain magnetic resonance imaging (mri) on the second day following the burn injury. in the diffusion-weighted mri, multifocal scattered high-signal intensity was seen in both frontoparietal subcortical regions (yellow arrow). it was more distinct on the right side.",,,,,,
,,,contrast sagittal mri shows well-defined heterogeneously enhancing t1 hypo and t2 hyperintense mass in the right cerebellopontine angle causing mild mass effect on the brain stem (white arrow).,,,,,,
,,,t1 sag sella (mri brain with and without contrast). red arrow indicating large pituitary mass.,,,,,,
,,,,,the treated lesions superimposed on pre-srs mri scanforty-seven lesions superimposed on a coronal mri image plane scanned prior to the first course of srs. the lesions are color-coded; each color represents the lesions treated in the same course of stereotactic radiosurgery.,,,,
,,,,,gagl lesion. a 35-year-old male presented with recurrent anterior shoulder dislocation. coronal stir mri image shows that the antero-inferior labrum is intact (small arrow) but the anterior band of the ighl is avulsed at its glenoid attachment (long arrow). also note the hyperintensity involving the supraspinatus tendon (arrowhead) and the fluid in the subdeltoid bursa (block arrow). the patient also had a full-thickness supraspinatus tendon tear,,,,
,,,mri brain diffusion sequence showing hyperintensity in the splenium of corpus callosum (black arrow),,,,,,
,,,"brain mri in axial plane and t2 sequences: extraaxial lesion at the right cerebellopontine angle, heterogeneous, hyperintense with edges well defined. the lesion produces imprint on the brain stem without signs of infiltration. all these features are suggestive of an epidermoid cyst",,,,,,
,,,mri brain diffusion scan coronal view. multiple areas of acute ischemia in the right corona radiata centrum semiovale with multiple foci of ischemia in the gray-white matter interface on the right.,,,,,,
,,,,,coronal section of mri scan showing air locule,,,,
,,,,,,,the t2 mri sequences in patient ii-4 showed apparent atrophy of the frontal lobe and cerebellar cortex,,
,,,,,postoperative coronal t1 mri shows gross total resection of the tumor,,,,
,,,contrast-enhanced mri brain seven months after initiation of treatment showing decreased exudates around the optochiasmatic region (arrow),,,,,,
,,,"brain mri demonstrating the measured dimensions.a, frontal pole of the brain; b, occipital pole of the brain; e, geno of the corpus callosum; z, splenium of the corpus callosum",,,,,,
,,,,,coronal pdfs (proton density fat saturation) mri image with extensive inflammation of the right vastus lateralis and vastus intermedius muscles,,,,
,,,brain mri showing multiple periventricular lesions.,,,,,,
,,,mri brain flair sequence showing hyperintensity in the splenium of corpus callosum (black arrow),,,,,,
,,,brain magnetic resonance imaging (mri) scan showing a 2×1.6 cm mass with an irregular margin and a high signal intensity in the base of the right cerebellum (black arrow).,,,,,,
,,,mri t2 axial of the brain on initial presentation.,,,,,,
,,,,,coronal t2-weighed mri with contrast medium; presence of an oval formation (6 x 4 cm) with sharp margins extending in the right parapharyngeal space upward until the skull base.,,,,
,,,,,"mri – head coronal section, showing the left optic nerve (marked with purple circle) with hypersignal in comparison with the right optic nerve in t2",,,,
,,,,,coronal view of follow-up mri 10 years after radiotherapy (patient 1). focal enhancement at the base of the frontal lobe was observed. this finding disappeared in follow-up mri after 9 months.,,,,
,,,sagittal section of mri of the brain (t2 weighted) demonstrates hyperintense signal in the right frontotemporal white matter.,,,,,,
,,,,,,,,,"model of lumbar subarachnoid injection of human neurons near the human spinal cord. mri image of the human spinal cord (a) with a lumbar puncture of the subarachnoid space adjacent to the cord (b), and injection of cells, such as the gabaergic human neuronal hnt2.17 cells (c) for pain relief, as delivered by syringe (d). a similar technique has been used in all pre-clinical animal experiments and clinical studies with human chromaffin cell injections for pain."
,,,manganese deposits in cns structures. coronal mri t1 image showing hyperintensity signal in the midbrain as consequence of manganese deposition,,,,,,
,,,,,,,"axial t2 weighted mri reveals a bi-lobed disc herniation (arrow), with secondary spinal canal encroachment and mass effect on the cervical spinal cord at the c6-7 level.",,
,,,,,"coronal t2w fat-suppressed mri shows a hypointense wall (black arrows) and hyperintense internal contents, suggestive of cystic degeneration",,,,
,,,mri of brain with sagittal view demonstrating expansile lesion centered in sphenoid sinus. the area with the signal void represents fungal debris. there is noticeable mass effect upon the sella with superior deviation of the pituitary gland and kinking of the infundibulum.,,,,,,
,,,,,mri after three months. noncontrast t2 coronal image. note reduction in size of pituitary gland. nipple sign is also reversing.,,,,
,,,,abdominal mri showing a 2 × 2 × 1.8 cm exophytic lesion in the lower pole of the left kidney demonstrating septation and enhancement,,,,,
,,,,,,,t1-weighed mri of the abdomen. 4.2 × 4.7 cm liver metastasis in the anterior left lobe (arrow).,,
,,,axial t2w mri of the brain shows symmetric areas of hyperintensity involving the dentate nuclei (arrow) and dorsal pons (arrowhead),,,,,,
,,,,,mri t2 coronal view: free fluid and inflammatory changes around the appendix (arrow). gravid uterus.,,,,
,,,,,coronal t2-wi mri scan demonstrating the left mesial temporal lesion.,,,,
,,,mri brain (t1) showing absent bright spot of posterior pituitary (small arrow) and brainstem atrophy (big arrow),,,,,,
,,,"prenatal mri evaluates the fetus and pregnancy structures. mr imaging using balanced steady state free precession sequence (b-ffe) of a gravid uterus shows well a 29 weeks old fetus and pregnancy structures: umbilical cord (black arrow), placenta (short white arrow), and amniotic sac (long white arrow). prenatal mri is evaluated in a system-oriented approach that includes the fetus brain, spine, face, neck, thorax, abdomen, pelvis, and extremities as well as the pregnancy structures.",,,,,,
,,,,,coronal post-contrast mri sequencesafter cyberknife radiosurgery,,,,
,,,mri of the brain shows non-enhancing mixed intensities haemorrhagic and cystic areas in the pituitary gland.,,,,,,
,,,,,,,,t1 post-contrast axial mri shows a tumor within the sella displacing the pituitary gland and infundibulum.,
,,,"mri coronal section passing through the interpeduncular fosae. the boundaries of the three areas needed for calculating the medial temporal atrophy index (mtai) and derived methods have been drawn in three different colors: (1) the medial temporal lobe region (a, red), defined in a coronal brain slide as the space bordered in its inferior side by the tentorium cerebelli, in its medial side by the cerebral peduncles, in its upper side by the roof of the temporal horn of the lateral ventricle and in its lateral side by the colateral sulcus and a straight-line linking the colateral sulcus with the lateral edge of the temporal horn of the lateral ventricle; (2) the parenchima within the medial temporal region, that includes the hippocampus and the parahippocampal girus (b, blue); and (3) the body of the ipsilateral lateral ventricle (c, green).",,,,,,
,,,,mri abdominal showing hypernephroma of the left kidney.,,,,,
,,,,abdominal mri scan. abdominal mri scan showing the tumor at segment iv of the liver.,,,,,
,,,a contrast-enhanced mri study of the brain shows a mass in a the right insular cortex with a main diameter of 2 cm in the subcortex of the right insula and no post-contrast enhancement.,,,,,,
,,,,,,,,"mri of abdomen, axial opposed–phase t1–weighted mr image (tr/te, 308/3.3) shows 9 cm mass in upper pole of right kidney. india ink artifact (arrows) is present at interface of renal mass with kidney. most amls contain macroscopic fat, the india ink artifact appears at all interfaces of the tumor with the kidney or at the interfaces of the fatty and nonfatty portions of the mass. other renal masses do not contain macroscopic fat; for that reason, the india ink artifact appears at the interface of the renal mass with perinephric fat when the mass is exophytic. thus, the diagnosis of aml is indicated when the india ink artifact is present at a renal mass–kidney interface or within a renal mass.",
,,,eight year-old girl who presented with bilateral breast enlargement. t2wi sagittal mri of the brain shows suprasellar arachnoid cyst (arrows) with hydrocephalus.,,,,,,
,,,"magnetic resonance imaging (mri) of the brain without ischemic changes, metastatic lesions, or abnormal enhancement with gadolinium.",,,,,,
,,,,,mri coronal view of polymicrogyria (encircled in black) in a proven congenital cmv infection. also note the hypoplastic corpus callosum.,,,,
,,,,,,,,"sagittal view t2 sequence mri with vaginal gel, demonstrating the extent of tumor",
,,,,,coronal noncontrast magnetic resonance imaging (mri) shows a homogeneous soft tissue abnormality occupying the sella and sphenoid sinus,,,,
,,,,,,"pulsation artifact. a 31 year old male with right knee pain. axial t1w mri image shows a low signal rounded focus (arrow) in fibula, which is caused by pulsation artifact from popliteal artery (arrowhead) and mimics a tumor",,,
,,,,,,,,mri after second operation. tumor was diminished remarkably compared to preoperative size.,
,,,mri of the brain revealed prominent bilateral enhancing parietal-occipital lesions on flair and t2 sequences and small areas of hyperintensity in the left periventricular white matter on diffusion-weighted images.,,,,,,
,,,diffusion mri brain without contrast showing extensive infarctions within both cerebral hemispheres (see arrows).,,,,,,
"chest wall tuberculosis. axial, contrast-enhanced, fatsuppressed, t1w mri shows a pleural-based mass along the dorsal aspect of the right thoracic wall, with irregular peripheral enhancement. note the hazy contours of the adjacent rib (arrow) due to osteomyelitis",,,,,,,,,
,,,,,case 2: mri t2wi coronal section showing large tumor with supra-sellar extension to foramen of monro with obstructive hydrocephalus and elevation of both aca,,,,
,,,,,a magnetic resonance imaging (mri) coronal scan demonstrating unilateral cervical rib (arrow).,,,,
,,,"fourth ventricular ependymoma on t1w axial mri brain of a 10 year old brother, whose 13 year old sister figure 7 has right diencphalic oligodendroglioma",,,,,,
,,,,"coronal gradient echo mri showing atresia of ivc between renal and hepatic segments (sequential white arrows) with a patent hepatic and suprahepatic ivc (psc). extensive, well developed collateralisation through ascending lumbar veins, azygous system and anterior abdominal wall subcutaneous veins (lc).",,,,,
,,,,,,mri scan of the right wrist showing a ganglion cyst (gc) in the region of the ulnar artery and nerve (ua/un) medial to the right carpal tunnel (ct) and hook of hamate (hh).,,,
,,,mri of the brain showing the diffuse vwm changes.,,,,,,
,,,,,,,,"mri of abdomen, axial t2–weighted mr image (tr/te, 4,3/2.2) shows 9 cm mass in upper pole of right kidney. the different signal of tumor and signs of bleeding product and smooth muscle/fat.",
,,,,,,,,axial mri of the left thigh delineates an ill-defining tumor mass within the long head of the biceps femoris muscle with vivid uptake of contrast media while measuring 4 × 3 × 9 cm in size.,
,,,,,,,,,ct and mri preoperative imagesaxial mri - attachment to left liver (arrow)
,,,,,schematic diagram of the maximal tumor diameter evaluated by enhanced coronal mri (44.65 mm represents the maximum diameter of this pituitary adenoma),,,,
,,,,,"post-treatment mricoronal t1 weighted, contrast enhanced image illustrating an enhancing mass involving the left cavernous and sphenoid sinus.",,,,
,,,,,"coronal t2wi magnetic resonance imaging (mri) showing hyper intense, multicystic lesion about 9 × 8 × 7 cm in size, with multiple daughter cysts with multiple daughter cysts in relation to the right seminal vesicle",,,,
,,,,abdominal mri showing bilateral psoas muscle abscesses (arrows).,,,,,
,,,normal t2 weighted saggital mri brain in 2006,,,,,,
,,,,,mri scan of the neck region demonstrating a left palpable neck mass (arrow) with the presence of food remnants in the esophagus and displacement of the trachea to the right (coronal view).,,,,
,,,,"magnetic resonance imaging (mri) revealing the location and morphology of the tumor and the adjacent structures. the abdominal aorta was crushed to left and the inferior vena cava was narrowed. the ascending lumbar, azygos and hemiazygos veins were distended and twisted markedly.",,,,,
,,,t2 post-contrast coronal mri image of brain showing extension superiorly into the sella and posteriorly into the prepontine cistern with soft tissue prominence of right cavernous sinus with associated encasement of the right internal carotid artery.,,,,,,
balanced gradient mri coronal image of the chest and upper abdomen shows hyperintense nodular lesions in the cardiac muscles (arrows) and pancreas (arrowhead),,,,,,,,,
,,,mri brain scan after 10 months of follow-up.,,,,,,
,,,,,caput medusa sign.coronal postcontrast mri images demonstrate tubular converging towards common point in left cerebellar hemisphere (arrow). this appearance is characteristic of venous angiomas.,,,,
"chest mri showed a cystic mass with multiple septa and calcification in apex of heart with bulging in pericardia and local thickening of pericardium due to very late lesion (coronal view) (source: shahid rajaie hospital mri center, tehran, iran)",,,,,,,,,
,,,,,,,72-year-old woman with clear-cell meningioma. axial t2 mri. csf cleft surrounding the mass confirms the extra-axial location of the disease (straight arrow). note vasogenic edema within the right temporal lobe (curved arrow).,,
,,,,,mri coronal cut pelvis,,,,
,,,,,,,mri revealed acute/subacute infarcts in the right cerebellum and left frontal lobe,,
,,,,,,,,,t1 weighted mri (axial view): liver lesion consistent with focal nodular hyperplasia (arrow).
,,,,,coronal mri t2 fat-suppressed image demonstrating high-grade acute muscle strain of the left proximal hamstring.,,,,
"chest radiograph demonstrating an aicd in situ. a limited number of aicds are mr-conditional, such as the medtronic evera™ mri icd and biotronik promri® aicd",,,,,,,,,
,,,t1 weighted mri scan showing right sided herniation of brain contents through the orbital bony structural abnormality with proptosis of the globe.,,,,,,
,,,,,coronal stir sequence mri demonstrating extensive bone marrow oedema within the lateral tibial plateau extending to the articular cartilage.,,,,
,,,sagittal t2w mri of the skull shows a basal occipital meningoencephalocele with protrusion toward the naso- and oropharynx. the content of this malformation was primarily fluid with a small quantity of impacted bulb brain parenchyma.,,,,,,
,,,,,coronal short ti inversion recovery (stir) mri image of a typical example of predominantly solid pseudotumour with low signal intensity (arrows).,,,,
,,,mri of brain flair sequence showing hyperintensity of splenium of corpus callosum (the boomerang sign),,,,,,
,,,mri brain (t2 flair) showing high intensity signal lesions within subcortical white matter and single larger lesion in left parietal region,,,,,,
,,,diffusion-weighted axial mri brain image showing the hyperintense,,,,,,
,,,,,mri dl spine (coronal section) showing tumor mass extending along the left 10th rib at the costo-vertebral angle,,,,
,,,,,,,,,mri showing cranial lesion of undifferentiated embryonal sarcoma of the livermri: magnetic resonance imagingthe cranial lesion of undifferentiated embryonal sarcoma of the liver has been highlighted by the arrows.
,,,,,coronal view mri (t2 weighted) showing c1-c2 joint asymmetry with subaxial spine scoliosis,,,,
,,,,,coronal mri image showing expanded sphenoid sinus with a suspected mucocele.,,,,
,,,axial t2 image of mri brain,,,,,,
,,,,,,,,mri of the pituitary shows no pituitary gland tumor. red arrow indicates pituitary gland.,
,,,mri brain showed nonspecific ischemic changes.,,,,,,
,,,,,"coronal t2 mri reveals an ovoid, lamellated mass with surrounding high t2 signal in the region of the left internal jugular vein (arrows). mri, magnetic resonance imaging.",,,,
,,,,,mri coronal view showing view showing the extent of tenosynovitis,,,,
,,,,,,,,,magnetic resonance imaging (mri) showing hepatosplenomegaly with multiple hemangiomas in spleen and liver (arrows)
,,,,,"mri with contrast. a coronal view of the pituitary gland 3 months after the apoplectic event. the upper arrow demonstrates the optic chiasm, and the lower arrow demonstrates the pituitary gland with resolution of the adenoma following the event.",,,,
,,,mri brain showing cerebellar atrophy.,,,,,,
,,,mri brain showing bilateral enlargement (arrows) of the lacrimal glands.,,,,,,
,,,"mri brain showed a well-defined, lobulated, intra-axial mass lesion in the left frontal lobe. on post contrast study, the lesion showed thick peripheral enhancement with perilesional edema and mass effect on the underlying left lateral ventricle",,,,,,
,,,,,fat suppressed proton-density-weighted mri sequence in the coronal plane shows hypersignal intensity on the pubic symphysis suggesting synovitis (arrow). these signal abnormalities seemed to be continuous with a voluminous abcess measuring 48 x 22 x 8 mm extending to the external genitalia (open arrow). edematous infiltration of the right adductor (asterisk) is also shown.,,,,
,,,,,,,,"orbital mri of the patient before treatment for orbital metastasis showing a t1-weighed orbital tumor, hypointense compared to fat.",
,,,mri of the brain with gadolinium: sagittal t1w section showing both extra and intracranial components of the mass. 135×135 mm (300×300 dpi).,,,,,,
,,,recurrent hemangioblastoma after initial resectionmri of the brain with contrast revealing a hemangioblastoma at the cervicomedullary junction.,,,,,,
,,,mri-flair axial study of the brain (patient #3) showing multiple cortical and subcortical spots involving both occipital hemispheres.,,,,,,
,,,,,,"angio-mri, tof. aneurysm at the bifurcation of of the right middle cerebral artery in an adpkd patient.",,,
,,,,,,,,mri of the lumbar spine showing osseous extension of primary tumor into left side of l3 vertebra.,
,,,,,,preoperative contrast mri showing the mass (arrow) in its subpectoral and infraclavicular extension with clear dislocation of axillary and subclavian artery and vein.,,,
,,,,,,,,preoperative enhanced parasagittal t1-wi mri demonstrates extra-axial heterogeneously dumbbell-shaped enhancing tumor in the left middle fossa extending into infratemporal fossa.,
,,,,abdominal mri of patient b demonstrating an air-fluid level (arrow) of the descending colon with surrounding mass.,,,,,
,,,,,a t 2 weighted coronal magnetic resonance imaging (mri) scan of pelvis with both hips showing oedema adjacent to the fracture line in the neck.,,,,
,"antenatal mri of case 1 showing dilated airways (arrow), hyperxpanded lungs, inverted diaphragm, and ascites.",,,,,,,,
,,,,"abdominal mri: hypersignal mass developed at the expense of the rectus abdominis with a contact with the psoas muscle, the sigmoid colon and the external iliac pedicle",,,,,
,,,,,,occlusion from origin of left middle cerebral artery on mri angiography.,,,
,,,brain mri of second patient at the age of 18 months (t2 weighted sequences tr/te 4510/119). note the increased signal in the periventicular white matter around the occipital horns of the lateral ventricles with enlargement of both lateral ventricles and the subarachnoid spaces.,,,,,,
mri showing image revealing left posterior chest wall lesion.,,,,,,,,,
,,,mri of the brain in sagittal section showing hyperintensities at the cervicomedullary junction (white arrow).,,,,,,
,,,,,"high-resolution (3t) coronal mri t2 weighted sequence showing signal hyperintensity and volume atrophy in the left hippocampus (arrow) compared to the right, suggesting left hippocampal sclerosis.",,,,
,,,,,"rupture of the peroneus brevis tendon distal to the lateral malleolus, subchondral cysts of the anteromedial upper ankle joint with bone bruise of the medial malleolus (mri coronal view).",,,,
,,,the brain mri in t2 flair showed the resolution of the central pontine lesions.,,,,,,
,,,mri of the brain with contrast showing widespread leptomeningeal enhancement (arrows) raising suspicion for leptomeningeal carcinomatosis.,,,,,,
,,,preoperative brain mri scan showing a hematoma in the left temporo-parietal region and two enhancing nodular lesions in the right frontal and left temporal regions.,,,,,,
,,,,,coronal mri demonstrating ongoing collections around the left hip with low signal foci which may represent metallic debris (red arrow),,,,
,,,"brain mri, sagittal view without contrast enhancementa large temporal lobe mass bridging the skull base into the left pterygomaxillary region.",,,,,,
,,,mri brain axial section flair image showing bilateral parietoccipital hyperintense signals,,,,,,
,,,,,representative coronal slice from mri obtained after first sirt procedure,,,,
,,,brain mri with and without contrast. the arrow indicates an area of vague enhancement on the surface of the brainstem associated with the left-sided t2 signal abnormality.,,,,,,
,,,magentic resonance imaging (mri) brain (sagittal section) showing empty sella turcica,,,,,,
,,,a repeat mri brain showing complete resolution of the signal abnormality in the left cerebellar hemisphere.,,,,,,
,,,brain mri: coronal t2‐weighted sequence showing absence of olfactory bulbs and tracts.,,,,,,
,,,,,,,,"50-year-old male with a glomus jugulotympanicum. axial gadolinium-enhanced t1 mri image with fat saturation demonstrating large enhancing tumor involving the temporal bone, middle ear, and peri-auricular region. the tumor is also seen extending into the left iac.",
,,,mri of the brain showing multiple bilateral infarcts (white arrows).,,,,,,
,,,six-week follow-up mri brain (flair) showing improvement in bilateral hyperintense lesions.,,,,,,
,,,mri brain (gre t2wi) showing multiple hypointense lesions diagnosed as cerebral cavernomas.,,,,,,
,,,,,coronal pet-mri scan demonstrating a solitary enhancing lesion in the right renal hilum (arrow).,,,,
,,,mri brain t2 image demonstrating a symmetric hyperintense lesion in the central pons.,,,,,,
,,,,,the t1ws coronal sequence of knee mri of a 36-year-old female weighing 66 kg. the residual red bone marrow areas were of grade 3 (hgb level: 15.1 g/dl).,,,,
,,,"brain mri, sagittal view without contrast enhancement",,,,,,
,,,the mri study of the brain revealed prominent bilateral extra-axial c.s.f. spaces with gliosis in both posterior parieto-occipital area with prominent left lateral ventricle and cerebellar folias.,,,,,,
,,,,,,,,,mri liver showing a central large heterogenous mass inseparable and encasing the main portal vein and biliary ductal confluence suggestive of cholangiocarcinoma
,,,,,mri showing coronal view of resolution of right iliacus muscle abscess following percutaneous drainage and antibiotics during pregnancy.,,,,
,,,,,,,mri flair shows anterior temporal lobe involement,,
,,,,,,,,mri scan (axial view) demonstrating intense enhancement of tumor,
,,,,,mri scan of the neck region showing the extent of the esophageal dilatation (arrow) (coronal view).,,,,
,,,"mri brain with gadolinium, axial view, showing well-defined lesion in left lateral part of fourth ventricle with brilliant enhancement",,,,,,
,,,,,,,"hepatobiliary phase of gd-eob-dtpa-enhanced mri. the signal intensities were measured by placing the largest possible regions of interest (rois) on the liver parenchyma, spleen, and erector spinae muscle, avoiding vessels, tumors, and artifacts. for the liver parenchyma, two round or oval rois were placed: one in the right lobe and the other in the left.",,
,,,,,coronal mri section of left tibia.,,,,
,,,,,mri showing mucocele of gall bladder (coronal plane),,,,
,,,"mri brain, axial view",,,,,,
,,,brain mri t1 sagittal sequence after gadolinium injection showing homogeneous wall enhancement,,,,,,
,,,"brain mri, axial view with contrast enhancementperipheral enhancement of the left temporal lobe operative bed and associated vasogenic edema consistent with residual or recurrent neoplastic change.",,,,,,
,,,t2 mri of the brain after three weeks of inpatient toxoplasmosis treatment; nine weeks after initial presentation.,,,,,,
,,,,,exemplary presurgical mri in 1 patient (p6) showing a projection of the planned placement of electrodes in bilateral nacc onto a coronal mri slice through the striatum.,,,,
,,,,,,,,"initial lesion, mri: mri confirms ct scan images (t: tumor, o: olfactory cleft, →: ethmoidal attic, and m: maxillary sinus). there is no typical signal of chordoma (t1 hyposignal and t2 very intense hypersignal).",
"chest radiograph showed a possible mediastinal mass in a 2-year-old child who was otherwise well. a non-contrast ct study is uninterpretable as there is no mediastinal fat present, unlike in adult patients, to outline the normal mediastinal structures. a contrast-enhanced study is thus mandatory to define the vascular anatomy in a child, and a non-contrast study is of no benefit. the abnormality on the radiograph was a normal thymus, confirmed with ultrasound. (mri would have been a better cross-sectional examination than ct in this context).",,,,,,,,,
,,,"magnetic resonance imaging (mri) of the brain.the arrow in the scan depicts a non-enhancing lesion in the left temporal lobe of the brain, which reflects either a low-grade primary brain malignancy or a metastatic disease.",,,,,,
,,,,"pelvi-abdominal mri showing a large, well-defined, oval mass measuring 12 × 8 cm in dimensions overlapping the right side of the pelvic cavity (red arrow). the mass appears to be connected to the uterus (blue arrow). a subserosal leiomyoma is suggested. however, a desmoid tumor needs to be excluded.",,,,,
,,,,,coronal mri section imaging haematoma of the left thigh.,,,,
,,,,,,,,,visceral situs inversus seen on cardiac mri. axial cut at the level of the left-sided liver and right-sided spleen and stomach. the aorta (ao) is on the right while the inferior vena cava (ivc) is on the left.
,,,,,coronal t2 mri shows an isolated t2-hyperintense cyst (white arrow) in the right half of the spinal canal with mass effect on the cord. this subarachnoid cyst was fenestrated surgically.,,,,
,,,mri brain scan tbl2 images showing areas of high intensities in the grey and white matter of the left cerebellar hemisphere suggestive of acute disseminated encephalomyelitis (adem).,,,,,,
,,,,,"postoperative computed tomography (ct)-magnetic resonance imaging (mri) fusion demonstrating a bilateral anterior thalamic nuclei (ant) implantation, coronal plane.",,,,
,,,mri scan of brain showing pontine and extrapontine myelinolysis,,,,,,
,,,,,a coronal t1 mri showing a normal ilio-psoas tendon on the left side (arrows) but its absence on the right side.,,,,
,,,,,,,mri showing a ring-enhanced mass with mild edema in the right frontal lobe.,,
mri with contrast that confirmed huge soft tissue mass of right side chest and neck,,,,,,,,,
,,,,,disagreement of ultrasound with the presence of an intra-operative pseudotumour which was also confirmed on metal artefact reduction sequence magnetic resonance imaging (mars-mri). a 60-year-old male with a conserve hip resurfacing underwent revision two years later; a large cystic psedotumour was identified intra-operatively and confirmed histologically; a) ultrasound imaging showed a small effusion and a separate 4 mm fluid collection laterally; however there was no pseudotumour. b) mars- mri was performed 61 days following ultrasound and confirmed a predominantly lateral cystic pseudotumour of 216 cm3 (coronal image shown).,,,,
,,,axial flair mri of the brain showing periventricular hyperintense areas in a patient with chronic hcv infection and cognitive changes.,,,,,,
,,,mri brain with gadolinium: coronal view showing the same falcine meningioma,,,,,,
,,,,,a coronal t2‐weighted mri from november 2014 illustrating multiple cysts in the pancreas and in both kidneys. the arrow marks the tumor in the central part of the right kidney.,,,,
