chest,lung,lungs,brain,abdominal,coronal,artery,lobe,tumor,liver
chest radiograph at time of admission demonstrating the bilateral pneumothoraces after reduction mammoplasty.,,,,,,,,,
chest ct showed a mosaic perfusion pattern and small nodules in the peripheral lung field.,,,,,,,,,
chest radiograph demonstrating an area of infiltration in the left upper lobe and a cavitating lesion in the right middle lobe.,,,,,,,,,
"chest radiograph, showing cardiomegaly with a prominent left pulmonary trunk (arrow) and increased pulmonary vascularity.",,,,,,,,,
chest x-ray - cardiomegaly with pulmonary plethora with a narrow pedicle (case 1),,,,,,,,,
x-ray of chest and cervical spine (pa view) showing left cervical rib with fracture (arrow).,,,,,,,,,
"chest x-ray for patient 2, at 4 weeks of age, shows generalized osteopenia and numerous multilevel bony callus formations along several contiguous ribs bilaterally, suggesting healing fractures (arrows) involving ribs two to nine on the right and ribs two to seven on the left.",,,,,,,,,
"m-mode depiction of the “stratosphere sign”, an image composed of only horizontal lines due to the absence of movement of the chest wall coupled to the non-detection of ls",,,,,,,,,
"plain chest pa x-ray on admission to the icu shows diffuse, almost homogeneous opacity of both lungs",,,,,,,,,
the chest ct scan showed pneumomediastinum (blank arrow) and pneumopericardium (white arrow) but there was neither a definite lung lesion nor any structural abnormalities in bronchi and esophagus.,,,,,,,,,
"chest computed tomography scan of a patient in group 1, six months after his procedure, shows a more than 50% decrease in the diameters of the target lesions (partial response).",,,,,,,,,
repeat chest ct scan after one month did not reveal and evidence of pneumothorax,,,,,,,,,
chest radiograph on which child was treated for pulmonary tuberculosis,,,,,,,,,
chest x-ray at presentation demonstrating extensive airspace disease that was interpreted as multifocal pneumonia versus pulmonary edema.,,,,,,,,,
initial chest x-ray.,,,,,,,,,
anterior-posterior chest x-ray demonstrating tracheal wall thickening (arrow) as the result of alkaline ingestion.,,,,,,,,,
preoperative chest computed tomography (ct) showing a bulky mediastinal tumor bulging outward into the left thoracic space and invading the pericardium and pleura.,,,,,,,,,
"chest mri showing marked volume loss in left hemithorax, pneumothorax, soft tissue lesion in the left lingular region, left lower lobe atelectasis, and a small amount of pleural effusion.",,,,,,,,,
the posteroanterior view of chest x-ray illustrating diffuse calcified outline of the left atrial wall (arrow).,,,,,,,,,
ct chest showing giant single pulmonary hydatid cyst.,,,,,,,,,
initial chest radiography.,,,,,,,,,
chest radiograph done a month after discharge.,,,,,,,,,
coronal chest computed tomography slice. this image is a coronal slice of the chest computed tomography taken of the patient. it demonstrates a large squamous cell carcinoma of the lung in the left upper lobe.,,,,,,,,,
chest radiography demonstrating two lung cavitations (arrows) and an enlarged heart.,,,,,,,,,
chest x-ray showing coarse reticular infiltration extending from the right hilum to the periphery (arrows).,,,,,,,,,
chest x-ray showing marked improvement and clearance of alveolar opacities after 6 weeks of antifungal therapy,,,,,,,,,
chest roentgenogram shows cardiomegaly and bilateral pleural effusions.,,,,,,,,,
chest x-ray – normal image,,,,,,,,,
cect chest showing right-sided massive pleural effusion with pleural thickening,,,,,,,,,
chest x-ray.,,,,,,,,,
posteroanterior chest c-ray film after subcutaneous implantable cardiac defibrillator (s-icd) implantation. dbs = deep brain stimulator.,,,,,,,,,
postoperative chest x-ray film showing improvement of the right pleural effusion.,,,,,,,,,
"chest ct scan, coronal view upon admission.",,,,,,,,,
postnatal chest x-ray in anteroposterior view showing the displacement of the heart and the mediastinum from the left to the right.,,,,,,,,,
chest computed tomography scan showing lung fibrosis at the time of diagnosis of progressive systemic sclerosis.,,,,,,,,,
chest skiagram showing bilateral pleural effusion,,,,,,,,,
chest ct at five months after surgery: ct scan shows multiple lung metastases.,,,,,,,,,
computed tomography of chest shows irregular thick walled cavitary lesion with surrounding air space consolidation in the right upper lobe with ground glass opacity in the posterior segment of right upper lobe,,,,,,,,,
chest hrct: bilateral calcific micronodules diffusely involving the parenchyma and diffuse interstitial pattern ( septal thickening ). hrct; high resolution computerized tomography scan.,,,,,,,,,
"chest radiograph of the patient in september, 2009 revealed that all metastatic lung nodules had disappeared.",,,,,,,,,
chest radiograph showing bilateral pulmonary edema.,,,,,,,,,
portable chest ap radiograph taken in the post anesthetic care unit reveals severe ill-defined heterogeneous confluent perihilar opacities in both lungs.,,,,,,,,,
"a chest radiograph shows a markedly enlarged pulmonary trunk (red arrow), enlarged central pulmonary arteries, and enlargement of the cardiac silhouette.",,,,,,,,,
ct chest showing posterior pneumorrhachis,,,,,,,,,
a chest radiograph showing cardiomegaly. the patient’s cardiothoracic ratio was 65%.,,,,,,,,,
chest computed tomography shows ground glass opacity and reticular opacities in both lower lobes on admission.,,,,,,,,,
chest x-ray day 31 after chemotherapy (anc was 6700 cell/μl).,,,,,,,,,
"the chest ct shows a 2 x 3 cm ill-defined soft tissue density lesion with abscess formation, adjacent infiltration into subcutaneous fat and the pectoralis major muscle. also there is no lesion in the pulmonary parenchyma.",,,,,,,,,
chest x-ray revealed bilateral hilar prominence with left-sided pleural effusion,,,,,,,,,
case one. chest computed tomography scan performed at a follow-up visit 21 months after the first surgery showing numerous metastatic nodules in diffuse and random distributions in each lung.,,,,,,,,,
chest x-ray shows no signs of tuberculosis.,,,,,,,,,
chest x-ray showing resolution of pulmonary infiltrates and pleural effusion 1 month following steroid treatment,,,,,,,,,
chest x-ray showing bilateral diffuse high density micronodular opacities more toward the mid and lower zones,,,,,,,,,
pa chest x-ray revealed a well-demarcated 6 cm peripheral opacity in the left lower lobe nearly by the diaphragm.,,,,,,,,,
the second hospitalization chest ct showed right pleural effusion (arrow).,,,,,,,,,
plain radiographs: exostoses exposed after lifting the scapula off the chest wall,,,,,,,,,
cavitary lesion mimicking tuberculosis on chest computed tomography.,,,,,,,,,
"chest x-ray (october 21, 2013) in lateral view: right ventricle markedly enlarged.",,,,,,,,,
chest x-ray showing left-sided pyopneumothorax,,,,,,,,,
chest x-ray upon initial admission,,,,,,,,,
mass involving right ventricular sections. chest high-resolution computed tomography pulmonary angiography showing mass pertaining to the pericardium with intracardiac extension at level of anterior right ventricle wall causing occlusion of tricuspid valve (arrow).,,,,,,,,,
chest x-ray showing a mass shadow over the left lower lung field (arrow).,,,,,,,,,
chest skiagram pa view displaying full pulmonary bay and dilated right pulmonary artery along with features of pulmonary congestion.,,,,,,,,,
axial image of the lower chest (lung window) showing moderate size right hydropneumothorax and pneumopericardium with the tip of the pig-tail catheter located in the anterior pericardial cavity,,,,,,,,,
contrast enhanced computed tomogram showing a huge mass in the left hemithorax. x-ray chest pa view (inset) providing an impression of a loculated pleural effusion,,,,,,,,,
"chest ct showing the lesion.abbreviation: ct, computed tomography.",,,,,,,,,
ct of the chest showing bilateral pulmonary nodules.,,,,,,,,,
"chest x-ray, (4 months after initial hospitalization) shows minimal left sided pleural effusion and a significant decrease in the pulmonary infiltrates and pleural thickening.",,,,,,,,,
ct findings of the lung edema. a bilateral lung edema can be seen in the ct of the chest.,,,,,,,,,
postoperative chest x-ray – the electrodes on the right ventricle and the medtronic generator implanted in the left sided upper abdominal wall are seen,,,,,,,,,
"a chest computed tomography scan showing mass lesion in the right lower lung lobe (arrow), and bilateral proximal pulmonary embolism (pe)",,,,,,,,,
chest computed tomography showed an enlarged thoracic aorta with an intramural thrombus at the level of the descending aorta. note that the distorted esophagus was displaced to the anterolateral aspect of the descending aorta (arrow).,,,,,,,,,
computed tomography scan of the chest showing the right atrial mass and pericardial effusion.,,,,,,,,,
computed tomography angiogram of the chest. a ct angiogram of the chest performed on hospital day one shows a large pleural fluid accumulation in the left pleural space (white arrowheads) with compressive atelectasis of the left lung as well as a pericardial effusion (black arrowheads). no pulmonary embolus was seen. the pleural fluid was later evacuated and found to be chylous.,,,,,,,,,
mri axial t1 showing tendon retracted medial to the anterior chest wall and absence of any muscle fatty infiltration.,,,,,,,,,
"chest ct shows the right lower lobe re-expansion, the bleb in right middle lobe aggravated into a large cyst with thick wall and fluid-level.",,,,,,,,,
a chest x-ray obtained on postnatal day 6. the chest x-ray shows diffuse pulmonary interstitial emphysema over the entire right lung field.,,,,,,,,,
computed tomography angiogram of the chest exhibiting a left atrial filling defect (asterisk). note the size of the rv in relation to the lv.,,,,,,,,,
"a chest x-ray film on admission. multiple granular shadows predominantly distributed in the lower lung field, and thickening of the right interlobar pleura were observed. these findings had been pointed since the patient had had been infected with tuberculosis. no obvious findings suggesting pneumonia were observed.",,,,,,,,,
chest x-ray showing multilple loculations in right hemithorax,,,,,,,,,
chest x-ray: normal with no signs of metastatic lesions,,,,,,,,,
chest x ray showing bilateral infiltrate and hilar adenopathy.,,,,,,,,,
ap chest radiograph showing the tip of an intravenous line within the left atrium (arrow),,,,,,,,,
"ct scan chest which revealed defect in the left diaphragm posteriorly, consistent with the diagnosis of diaphragmatic rupture with resultant herniation of the stomach, splenic flexure of the colon, spleen, omental fat, descending colon, left-sided transverse colon, bowel, mesentery and in the left hemi-thorax",,,,,,,,,
computed tomography scan of the chest without contrast before starting ipi/nivo. numerous pulmonary metastases can be seen.,,,,,,,,,
regression in the size of the thrombus observed on the follow-up chest computed tomography scan,,,,,,,,,
lateral chest x-ray revealed opacification along superior margin of cyst.,,,,,,,,,
case 2: axial ct scan of the chest showing focal dilatation of the aberrant right vertebral artery at its origin (red arrow). the artery assumes a retroesophageal course.,,,,,,,,,
anteroposterior chest x-ray showing paddle and/or spatulated ribs.,,,,,,,,,
chest radiograph on day of admission.,,,,,,,,,
chest film revealing persisting tension pneumothorax on the left side despite the correctly placed chest tubes on both sides. furthermore showing a massive subcutaneous emphysema also on the left side.,,,,,,,,,
x-ray chest anteroposterior view showing pulmonary edema,,,,,,,,,
"chest x‐ray showing respiratory distress syndrome changes, no free air is noted in the abdomen.",,,,,,,,,
chest x-ray showing bilateral rounded airspace opacities.,,,,,,,,,
chest x-ray showing large mediastinal mass.,,,,,,,,,
frontal view of the chest demonstrates the development of multiple air-containing structures within the right lung and pneumomediastinum.,,,,,,,,,
sagittal view of a chest computed tomography scan of a 63-yr-old-man with a giant fibrovascular polyp. a soft tissue lesion (arrow) in the esophagus from the level of the cervical esophagus extends to the level of the upper body of the stomach. the exact location of the polyp's origin is obscure. the dimension of the head (arrowhead) is about 8×5 cm in size. the central portion of the lesion shows attenuation identical to that of subcutaneous fat.,,,,,,,,,
"chest ct scan obtained shortly after patient's arrival displaying evidence of subcutaneous emphysema (white arrow), pneumomediastinum (black arrow) and air tracking down resulting in pneumoperitoneum (gray arrow).",,,,,,,,,
computed tomography scan of the chest showing right superior sulcus mass invading a vertebral body.,,,,,,,,,
computerized tomography of the chest showing large pa dilatation involving the main pa and its branches. pa: pulmonary artery.,,,,,,,,,
"axial computed tomography scan of the chest, demonstrating near complete atelectasis of the left lung along with a loculated hydropneumothorax with multiple air pockets, suggestive of empyema.",,,,,,,,,
"computed tomography scan of the chest confirmed erosion of the lead through the pericardium and embedding into the intercostal/rib space. interestingly, no pleural or pericardial effusions, hemothorax, or pneumothorax were seen radiographically",,,,,,,,,
"chest radiograph showing diffuse nodular and patchy pulmonary infiltrates, and right hilar widening.",,,,,,,,,
computerized tomography of the chest shows mild enhancement of the nodule (arrow).,,,,,,,,,
chest x-ray third day of disease,,,,,,,,,
subcutaneous emphysema on x-ray chest,,,,,,,,,
"chest x-ray showing scoliosis of spine, bifid right 4th rib posteriorly, right 5th rib anteriorly and left 5th rib posteriorly",,,,,,,,,
"chest x-ray shows a moderate-sized right pleural effusion (arrow), which was later confirmed to be a hemothorax.",,,,,,,,,
ct chest showing bronchiectasis,,,,,,,,,
"chest x-ray showing a significant enlargement of the left lung hilum (white arrow) with pneumomediastinum (grey arrow) and subcutaneous emphysema (se, black arrows).",,,,,,,,,
chest x-ray showed no deviation or luminal narrowing of central venous catheter representing pinch-off sign grade 0.,,,,,,,,,
"chest x-ray on admission: bilateral patahy infiltrations are seen, more in lt upper and rt lower lung field.",,,,,,,,,
"chest x-ray revealed a spontaneous bilateral pneumothorax, greater on the right side.",,,,,,,,,
chest radiograph showing homogenous opacification of the entire left hemithorax with marked mediastinal shift to the right.,,,,,,,,,
"posteroanterior chest radiograph. note: one year later, posteroanterior chest radiograph demonstrates prominent areas of ground-glass opacity and consolidation.",,,,,,,,,
repeat chest x-ray taken 10 months after extravasation again showing right pleural effusion without any other abnormalities,,,,,,,,,
chest ct with contrast (axial view) showing a hiatal hernia with a rounded mass projecting into the lumen with multiple calcifications.,,,,,,,,,
"38-year-old male with metastatic choriocarcinoma. transverse ct image from a ct pulmonary angiogram obtained 9 days prior. again demonstrated are the numerous pulmonary nodules of metastatic choriocarcinoma. however, the lucent halos are absent. also seen is the large right pleural effusion for which a chest tube was placed, leading to the initial, trace pneumothorax.",,,,,,,,,
chest radiogram showing cardiomegaly with globular enlargement of the cardiac silhouette with “water bottle” configuration,,,,,,,,,
measurement of diaphragm mobility obtained by the software. digital radiography of the chest in anteroposterior view (ap) during maximal expiration and maximal inspiration conducted on the same film. measurements of the mobility of right and left hemidiaphragms were obtained by the software of the device using the ruler on the image for calibration. source: author's own production,,,,,,,,,
an example of right upper and middle lobe infiltration from a chest radiograph obtained 5 days after the onset of symptoms in a patient with mycoplasma pneumonia.,,,,,,,,,
bronchiectasis in a 29 year-old woman with chronic graft versus host disease following bone marrow transplantation. chest x-ray shows hyperinflation and peribronchial thickening. large bilateral pneumatoceles (arrows) are also present.,,,,,,,,,
positron emission tomography–computed tomography scan of chest showing multiple pulmonary nodules.,,,,,,,,,
"chest radiography showing spinnaker-sail sign (wedge-shaped opacity extending to superior mediastinum, inferiorly delimited by a hyper-transparent area)",,,,,,,,,
chest radiograph revealing superior mediastinal widening,,,,,,,,,
"43-year-old gentleman complaining of high grade fever, cough, and chest pain was investigated with chest radiographs and helical chest ct scan and subsequently diagnosed with intrathoracic ribs. chest radiograph shows left upper and mid-zone opacity (black arrows) and depression of bifid left third rib (white arrows). upper lobe of the left lung is hypoplastic.",,,,,,,,,
axial ct chest with arrow depicting subcarinal lymphadenopathy.,,,,,,,,,
chest radiograph demonstrating a mass abutting the mediastinum within the left hemithorax.,,,,,,,,,
"a case of aml with anc of 200/µl, presented with high grade fever and dyspnea. hrct chest reveals bilateral diffuse ggo with air space consolidation and subpleural sparing and a few air cysts classical of pneumocystis jiroveci pneumonia",,,,,,,,,
chest x-ray posterior-anterior view showing superior mediastinal mass suggestive of aortic aneurysm,,,,,,,,,
chest x-ray revealed right hilar fullness and consolidation involving the paracardiac location of the right lower zone without silhouetting of the right heart border.,,,,,,,,,
chest radiography of the patient before thoracotomy,,,,,,,,,
ct scan of chest: large fluid collection in the left chest wall measuring 12.9 × 2.8 × 10.1 cm.,,,,,,,,,
"normal cardiothymic contour on a chest radiograph in a 6-month-old girl. the normal thymus is homogeneous, continuous with the superior heart border and can occupy both upper lung lobes. the normal thymus does not displace the trachea or vessels.",,,,,,,,,
a cxr showing an inappropriately placed chest drain. note the extensive surgical emphysema.,,,,,,,,,
chest x-ray on the 15th day of admission. note resolution of the diffuse bilateral reticular infiltrates,,,,,,,,,
coronal ct chesta coronal ct of the chest with iv contrast demonstrating destructive changes at the left scj and first costochondral junction with fluid collection and air measuring up to 6.5 cm consistent with septic joint and osteomyelitis.,,,,,,,,,
chest radiograph (posteroanterior view) showing a left-right shifted heart.,,,,,,,,,
portable chest x-ray demonstrating a right-sided tension hemopneumothorax,,,,,,,,,
standard computed tomography of the chest depicting the lobulated posterior mediastinal portion of the crescent of abnormal paraspinal tissue as well as the fissural nodularity.,,,,,,,,,
schematic representation of segregated and integrated processing of emotional and attentional dimensions during sexual stimulation. distinct parcellations within thalamus reflect a rostro-caudal parcellation of acc with direct connections of corresponding portions. the anterior insula (ai) may serve as an integrator with connections to both networks thus orchestrating functionally distinct processes. arrow width does not indicate the strength of directionality.,,,,,,,,,
ct scan of chest showing the mass lesion in the anterior segment of right upper lobe with smooth lobulated margins,,,,,,,,,
an image of a chest computed tomography scan with intravenous contrast shows filling defects in the branch of pulmonary artery.,,,,,,,,,
axial cut section of ct chest with contrast showing enlarged upper mediastinal and right lower paratracheal lymph nodes,,,,,,,,,
plain posterior–anterior (pa) chest x‐ray demonstrated a pleural‐based soft tissue mass at the apex of the left thoracic cavity.,,,,,,,,,
"on april 7th 2013, the chest computed tomography scan revealed the left lower lung with patchy inflammation.",,,,,,,,,
chest ct scan shows interval resolution of paramediatinal abscess (red arrow) after percutaneous drainage and resolution of lung infiltrates after 2 weeks.,,,,,,,,,
an erect chest radiograph: no evidence of air beneath the diaphragm,,,,,,,,,
initial ct angiogram of the chest with aortic pseudoaneurysm.,,,,,,,,,
"chest radiograph showing bilateral volume loss and lower lobes with dominantly diffuse linear and reticular opacity, with ground-glass opacity in both lung fields.",,,,,,,,,
chest ap radiograph taken after thoracentesis and pericardiocentesis shows improved pleural effusion at the postoperative 6 days.,,,,,,,,,
chest radiograph demonstrating a mass in the left middle field.,,,,,,,,,
a three-dimensional 3-d chest computed tomography scan on the 17th post-operative day shows an intact large airway,,,,,,,,,
enhanced chest ct scan at the level of right main pulmonary artery shows low density ovoid thromboembolism from lobar pulmonary artery of left lower lobe to entire segmental pulmonary artery of left lower lobe.,,,,,,,,,
"chest x-ray film taken 3 months after the patient's first admission to our institution, showing a right-sided pneumothorax, estimated at 50%, with persistence of the left pneumothorax; right chest tube in place.",,,,,,,,,
preoperative computed tomography scan. loculated fluid collections protruded into the left lateral chest wall and posterior back (12.8 cm×8.0 cm).,,,,,,,,,
chest pa taken before the surgery shows no evidence of a definite abnormality.,,,,,,,,,
left chylothorax with chest tube drainage,,,,,,,,,
admission chest x-ray showing right perihilar alveolar infiltrates superimposed on chronic pulmonary infiltrates.,,,,,,,,,
chest x-ray after 24 hours of admission.,,,,,,,,,
plain chest radiograph demonstrating the presence of air in the left lateral pericardium (arrows) along with a small left pleural effusion.,,,,,,,,,
"computed tomography of the chest showing numerous cavitary pulmonary nodules located peripherally, representing septic pulmonary emboli in the right lung",,,,,,,,,
chest computed tomography after prednisone treatment of 20mg/day. chest computed tomography showing improvement of patchy ground-glass opacities in the bilateral lung.,,,,,,,,,
chest x-ray on admission showed cardiomegaly with a clear lung.,,,,,,,,,
chest radiograph. chest posteroanterior view shows levoposition of heart with a bulging of the left ventricle.,,,,,,,,,
repeat chest radiograph as second admission.,,,,,,,,,
chest radiograph.,,,,,,,,,
"on enhanced chest computed tomography (ct), a consolidated patch with central necrosis over the lower left lung (white arrow)",,,,,,,,,
"axial reconstruction of a chest ct scan demonstrating lymphocytic interstitial pneumonia in a female patient with sjögren's syndrome. note the areas of ground-glass opacity, the reticular pattern, and the cysts predominating in the lower lung fields.",,,,,,,,,
"axial chest computed tomography showing an ascending aorta dilation (45.7 mm). this incidental finding was not mentioned in the original report. arrows indicate a thoracic aorta atherosclerosis that, conversely, was mentioned in the original report.",,,,,,,,,
spiral chest ct scan demonstrates bilateral filling defects of pulmonary arteries.,,,,,,,,,
chest radiography showed a completely opacified left hemithorax.,,,,,,,,,
right displacement of aortic arcus imaging with plain chest radiography,,,,,,,,,
chest roentgenogram of the patient postoperatively. note the hyperinflated right lung with leftward displacement of the mediastinal structures.,,,,,,,,,
"at 2 months prior to admission, chest p-a shows heterogenous, hazy, streaky densities on both lower lung fields and well-marginated homogenous squared shape of mass-like density on right middle lung.",,,,,,,,,
"a three-month-old male child with neurological sequelae of congenital toxoplasmosis. inadvertent contrast aspiration into the bronchial three during egds, resulting from non-coordinated deglutition. chest radiography demonstrating paracardiac opacities corresponding to aspiration bronchopneumonia.",,,,,,,,,
chest x-ray showing a small right basal pleural reaction and some right basal atelectasis.,,,,,,,,,
chest radiograph showing bilateral ggos. ggo = ground glass opacity.,,,,,,,,,
"chest ct showed numerous small nodules (black arrows) in both lungs, with some clustered in tree-in-bed distribution.",,,,,,,,,
chest x-ray on post-transplant day 5 showing a massive left pleural effusion,,,,,,,,,
"hr ct chest scan demonstrating a biopsy-proven aspergillus sp. infection. the pleural-based lesion shows surrounding glass ground appearance on the free edge. the presence of this intrapleural lesion shows the halo sign, a lesion typically seen early in aspergillosis",,,,,,,,,
(case 2) chest x-ray on admission,,,,,,,,,
lateral chest x-ray showing bowel herniation into the chest.,,,,,,,,,
"chest ct showing a 45 x 38 x 46 mm elliptical, well-marginated mass measuring about 34-35 hounsfield units in the middle mediastinum just below the carina.",,,,,,,,,
preoperative chest x-ray,,,,,,,,,
plain chest x ray. radiolucent image below the left diaphragm showing the presence of air within the wall of the stomach (arrow).,,,,,,,,,
"posterior-anterior chest x‑ray, showing the ra lead, a quadripolar lv lead and rv shock lead. note the position of the proximal segment of the shock lead, which is most likely located in the lower right atrium at the level of the coronary sinus",,,,,,,,,
"chest radiography showed increased radiolucency of the left lung, right sided shifting of heart shadow, and scimitar shadow parallel to right heart border.",,,,,,,,,
the computed-tomographic scan of chest showed the diaphragmatic prosthetic opening.,,,,,,,,,
"radiation affects adjacent structures as well as operation bed with entire breast including following: target breast, overlying skin, chest wall, lung, heart, opposite breast and adjacent organs.",,,,,,,,,
chest x-ray showing cardiomegaly with decreased pulmonary flow,,,,,,,,,
"precarinal lymph nodes 1cm in size, unchanged on sequential chest ct.",,,,,,,,,
this chest x-ray shows slightly increased interstitial markings in both lower lung fields in one subject.,,,,,,,,,
initial chest x-ray performed at the primary health clinic.,,,,,,,,,
chest radiograph showing severe rds,,,,,,,,,
computed tomography of chest revealing dilated aortic root and aneurysmal ascending aorta,,,,,,,,,
"ct of the chest reveals cortical lucency, expansile destruction, and medullary invasion due to metastatic lung carcinoma affecting the right scapula.",,,,,,,,,
"chest x ray (pa) showing 2 atrial and 2 ventricular pacing leads and 1 pulse generator in left infraclavicular pocket, the right sided pulse generator having been removed previously.",,,,,,,,,
chest x-ray. increased density over the left upper lung and right middle lobe suspicious for infiltrate/fibrotic change.,,,,,,,,,
chest radiograph showing right sided pneumothorax.,,,,,,,,,
chest radiograph shows resolution of the pulmonary edema at postoperative day 3.,,,,,,,,,
the initial chest radiograph shows two round lung masses in the left upper lobe.,,,,,,,,,
chest radiograph on admission: a chest radiograph obtained on admission shows widening of the mediastinum and the carinal angle with bilateral pleural effusion.,,,,,,,,,
chest x-ray posterior-anterior view showing paracardiac consolidation,,,,,,,,,
ct chest demonstrating multiple rounded nodular densities scattered throughout the both lungs.,,,,,,,,,
a chest radiograph of a non-asthma patient. the angle of rib curve was larger than in the asthma patient,,,,,,,,,
x-ray chest shows a radio-opaque foreign body (piece of sharpener blade) inhaled accidentally by a 3-year-old child,,,,,,,,,
chest computed tomography (ct) scan revealed a massive pneumomediastinum associated to a large subcutaneous emphysema of the chest wall soft tissues.,,,,,,,,,
chest x ray showing a mass in right upper lobe.,,,,,,,,,
"chest radiograph 24 hours after repair of bochdalek hernia. the grossly widened mediastinum, consisting of the mass and the heart, occupies almost the entire thorax. only the right lobe of the liver is seen in the abdomen (marked by black arrows). the nasogastric tube and umbilical artery catheter are in place.",,,,,,,,,
"plain supine ap chest radiograph showing extensive surgical emphysema; multitude of rib fractures and flail on the left side; bilateral pulmonary contusions and suggestion of a haemothorax on the left side; a rotated 'boot shaped' cardiac silhouette, with clear demarcation of cardiac silhouette from the diaphragm; pneumomediastinum; the pericardial contour is also distinctly visible; endotracheal tube.",,,,,,,,,
ct scan before treatmentlarge tumor mass fixed to the chest wall (arrow),,,,,,,,,
"chest x-ray showed a mass shadow in the peripheral area of the left upper zone, and widespread diffuse reticular shadows.",,,,,,,,,
"chest x-ray posterior anterior projection (view) shows right ventricular type of apex (1), right atrial enlargement; full of pulmonary bay (2) despite significant right ventricular outflow tract obstruction and oligemic lung fields (3).",,,,,,,,,
chest x-ray showing a mass lesion in the right mid-zone with convex margins and homogenous opacities over right lower zone and right para-tracheal region,,,,,,,,,
ct scan of the chest shows right axillary and subpectoral adenopathy.,,,,,,,,,
contrast-enhanced chest ct scan showing a mass lesion from posterior wall of the lower esophagus (arrow).,,,,,,,,,
"chest ct shows a tumor with a smooth margin in the left s8 pulmonary segment, close to the interlobar pa, and the lingular segmental artery is compressed by the tumor (white arrow).",,,,,,,,,
radiograph of the chest posteroanterior view showing the opacity in right lower lobe,,,,,,,,,
chest ct-scan following pericardial drainage demonstrating a calcified hydatid cyst on the dome of the liver that was in close contact with the pericardial cavity. additional findings included a bilateral pleural effusion (more prominent on the left) and the residual pericardial effusion.,,,,,,,,,
chest radiograph taken on the day of the thrombus diagnosis.,,,,,,,,,
chest x-ray showed the ill-defined patchy mass opacity with surrounding ground-glass opacity in left mid-lung field.,,,,,,,,,
contrast-enhanced ct scan of the chest demonstrating the presence of an anomalous pulmonary vein (white arrow) arising from the left upper lobe of the lung and connecting to the left brachiocephalic vein.,,,,,,,,,
initial contrast enhanced ct scan shows filling defect in the superior vena cava suggesting thrombosis (long arrow) and rich collateral veins in the mediastinum(arrow head) and chest wall. pleural effusion is seen in the right hemithorax.,,,,,,,,,
chest radiograph revealed bilateral clavicular fracture and minimal pneumomediastinum,,,,,,,,,
high-resolution computed tomography image of the chest at presentation (upper-lung zones). a mass-like lesion with nodules in the right lung (yellow circles) is shown.,,,,,,,,,
the second chest roentgenogram the chest roentgenogram showed improvement of the radiolucency of the left lung field and the shift of the mediastinum,,,,,,,,,
"axial contrast-enhanced chest computed tomography at the t8 level demonstrating a large mass in the right paraspinal region with significant bony erosion of the adjacent ribs and vertebral body, invasion of the spinal canal, and extension into the pleural space.",,,,,,,,,
chest computed tomography (ct) scan obtained 5 years after the first surgery. a contrast-enhanced ct scan of the chest reveals a well-defined large solitary pulmonary nodule (arrow) in the right middle lobe,,,,,,,,,
"47-year-old male presented with high-grade fever and cough since 2 months. contrast-enhanced axial section ct scan of chest shows thick and enhancing outer parietal (white arrow) and inner visceral right pleural layer (white arrowhead) representing the radiologic sign, split pleura sign.",,,,,,,,,
chest x-ray revealing a rounded opacity in the right upper lobe.,,,,,,,,,
anterior-posterior chest x-ray showing the radio-opaque foreign body in right main bronchus (arrow).,,,,,,,,,
biplane chest radiograph 9 months later showing an anterior mediastinal mass (black arrows).,,,,,,,,,
chest x-ray at presentation.,,,,,,,,,
chest computed tomography: admission ct displaying diffuse hazy opacities in both lung fields with occasional nodular formation.,,,,,,,,,
chest radiograph (postero-anterior view) of the patient without any gross abnormality,,,,,,,,,
"compute tomography (ct) of chest showing wedge-shaped ground glass opacity in the left lower lobe, with surrounding centrilobular nodules (arrow). additional 1-2 mm centrilobular nodules noted in the right lower lobe.",,,,,,,,,
chest x ray showing right middle lobe atelectasis.,,,,,,,,,
figure 4: x-ray chest satisfactory lung expansion.,,,,,,,,,
chest x-ray showing reticulo-nodular opacities,,,,,,,,,
chest x ray showing bullous disease.,,,,,,,,,
the chest radiograph showed an air-fluid level in the right-upper abdomen.,,,,,,,,,
"chest x-ray at presentation. pneumothorax, which accounts for about 40% of the right hemithorax, was observed. arrows indicate pleural line.",,,,,,,,,
bedside antero-posterior chest x rays showing atrial ring in the right ventricle.,,,,,,,,,
a frontal chest radiograph showing a unilateral edema,,,,,,,,,
a chest radiograph showed right lung herniation through the enlarged fifth intercostal space.,,,,,,,,,
initial chest x-ray. a posteroanterior chest x-ray view shows cardiomegaly and both pleural effusions before treatment.,,,,,,,,,
ct chest showing the left upper lobe consolidation in a lateral sagittal view.,,,,,,,,,
computed tomography (ct) scan of the chest showing diffuse patchy ground glass opacities.,,,,,,,,,
a chest ct shows that mass is pressing the superior vena cava (arrow).,,,,,,,,,
chest x-ray demonstrating the presence of air-fluid level within the dilated oesophagus (as shown by the arrow a). there is also a lucent shadow in the middle of neck that was causing the patient's stridor (as shown by arrow b),,,,,,,,,
a 24-year-old man with dyspnea and persistent cough. postero-anterior (pa) chest radiography revealed a well-marginated homogeneous opacity in the middle right border of the heart margin.,,,,,,,,,
chest x-ray in june 2007 revealed a left pleural effusion.,,,,,,,,,
follow-up chest x-ray,,,,,,,,,
