mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
,,,(patient 2) x-ray of right shoulder showing fracture of the right scapular spine with callus formation but no consolidation 3 months after initial symptoms,"a computed tomography scan showing a thickening of the entire bladder wall with no predominant location, such as the bladder dome."
,,,supine x-ray abdomen showing dilated small bowel loops.,contrast enhanced axial computed tomography of parapharyngeal region showing left retropharyngeal mass (arrow)
,,,left shoulder follow up x-ray axillary,computed tomography scan showing metastatic lymph node
,,,"x-ray of the left hip after surgery. revision of the acetabular component with a trabecular metal cup is marked with a black arrow. the original femoral component is shown reinforced with a tibial allograft, marked by a white arrow.",follow-up contrast enhanced abdominal computed tomography scan. a newly developed 11.5×9.5 cm sized cystic mass is observed between the stomach and the pancreas. communication is seen between the pseudocyst and the dilated pancreatic main duct.
,,,"x-ray examination shows necrosis, osteomyelitis, and abscess formation in the left caput femoris",computed tomography scan showing the large pelvic mass
,,,upright portable chest x-ray. no acute cardiopulmonary process was noted and no intra-abdominal free air.,"computed tomography. a mass with an unclear and irregular border (yellow arrow heads) spreads from the hepatic hilum to the pancreatic head and invades the duodenum and the pancreatic head. the intrahepatic bile ducts were dilated (black arrows). ph pancreatic head, asterisk metallic stent"
,,,"x-ray chest pa view post-treatment showing improvement in non-homogenous opacity, left upper zone.",chest computed tomography scan showing lung fibrosis at the time of diagnosis of progressive systemic sclerosis.
,,,"chest x-ray showing enlarged heart associated with infiltration of both lung fields, particularly in the lower right area (black arrow)",postoperative computed-tomography images. computed tomography showed that the pericardial tumor was almost totally resected and there was no evidence of recurrence
,,,chest x-ray showing three mass-like opacities in the right lung,computed tomography (sagittal reconstruction) showing metastatic mass from hcc infiltrating body of third dorsal vertebra (circle)
,,,plain x-ray of the right hip joint showing destruction of the joint cavity and femoral head.,early stage of centriacinar emphysema. high resolution computed tomography demonstrating numerous tiny low attenuation areas (laas) throughout the lung field. note that each laa does not have a clear wall.
,,,case 1. march 2006. a panoramic x-ray film obtained before treatment,computed tomography abdomen and pelvis
,,,follow-up panoramic x-ray taken one year after the operation indicates resolution of the lesion.,computed tomography of chest shows irregular thick walled cavitary lesion with surrounding air space consolidation in the right upper lobe with ground glass opacity in the posterior segment of right upper lobe
,,,preoperative chest x-ray showed increased aeration in the left lobe and mediastinal shift to the right,"computed tomography scan of the head; coronal view. coronal view shows biphosphonate-related osteonecrosis lesions, fracture of right jaw and thickening of the soft tissue adjacent the inferior right hemimandibular surface in a 69-year-old woman with breast cancer history and treated with zoledronic acid for 23 administrations."
,,,"this lateral x-ray shows the vertex/rod/eyelet/titanium cable system affixed to the spinous processes superiorly of c2, c3, c4, the laminectomy c5, c6, and the fusion of the c7, t1, and t2 spinous processes inferiorly. note in this case due to marked osteoporosis the c2 cables have pulled out of c2; this patient was still sent on to fuse in a miami j cto (cervical thoracic orthosis) for 4 postoperative months",aneurysm seen on computed tomography angiography
,,,x-ray showing perfect anatomic reduction and healed insufficiency fractures caused by the multiple-level osteotomies.,chest computed tomography shows ground glass opacity and reticular opacities in both lower lobes on admission.
,,,chest x-ray showing tooth in right bronchus (arrow),axial computed tomography image showing the pseudo-joint formation between zygomatic arch and the tumor mass of coronoid process
,,,the patient's chest x-ray on discharge.,computed tomography scan (axial view) shows expansion of the right thoracic cage (with increased anteroposterior diameter and widened intercostal space) to accommodate a large pleural effusion.
,,,simple chest x-ray showing cardiomegaly and a dilated pulmonary trunk.,contrast-enhanced abdominal computed tomography demonstrating small intestine wall thickening with fluid retention.
,,,chest x-ray of intubated patient with smoke inhalation-induced acute lung injury,total absence of the left lung perfusion in a 35-year-old female with severe pulmonary hypertension. pulmonary computed tomography angiography (cta) reveals complete occlusion of lpa with thrombus (arrow)
,,,plain abdominal x-ray film. no free intraperitoneal gas was observed.,case one. chest computed tomography scan performed at a follow-up visit 21 months after the first surgery showing numerous metastatic nodules in diffuse and random distributions in each lung.
,,,chest x-rays of the patient immediately after pneumonectomy.,"non-ecg gated contrast-enhanced computed tomography in sagittal plane;on short-axis view of the heart re-constructed using multiplanar re-construction (mpr), also showed perfusion defect in the intra-ventricular septum and apical segments. on quantitative analysis, the hounsfield unit (hu) for region of interest (roi) in the perfusion defect was 52.6 hu (±4.2 hu) compared to remote myocardium 75.6 hu (±7.7 hu)"
,,,plain x-ray showing midshaft clavicle fracture,"computed tomography of the abdomen and pelvis revealing concentric, alternating layers of hyperechoic and hypoechoic shadowing within the intestine, suggestive of a duodenojejunal intussusception (arrow)."
,,,"upright ap chest x-ray with bilateral, diffuse, airspace opacities was read as consistent with multilobar pneumonia possibly due to tb, mai, aspergillosis or recurrent aspiration. the patient was ultimately determined to have pulmonary kaposi’s sarcoma",computed tomography image showing the beam orientation and isodose distribution of a 9-field intensity-modulated radiation therapy (imrt) plan for a patient with non-metastatic nasopharyngeal carcinoma.
,,,"chest x-ray shows volume loss on left side with homogenous opacity in the left upper zone with tracheal and mediastinal shift toward left side, compensatory hypertrophy of left lower lobe and right lung field, herniation of right lung field across midline, elevated left hemidiaphragm, and blunting of left costophrenic angle",computed tomographic pulmonary angiography at the 7-day follow-up: partial reperfusion of lower lobe pulmonary arteries. the other computed tomography findings appear unchanged
,,,chest x-ray showed pleural effusion on the right side.,computed tomography of the lung with thin slices (1 mm) showing emphysema and bullae in the lower lung lobes of a subject with type zz alpha-1-antitrypsin deficiency. there is also increased lung density in areas with compression of lung tissue by the bullae.
,,,"catheter tip in the azygos vein. lateral view of the chest x-ray shows the tip of the catheter oriented posteriorly, suggesting dislocation in the azygos vein",abdominal computed tomography (ct) showed an 8 cm × 10 cm lobulated solitary mass encircling the duodenum with low attenuation and inhomogeneous enhancement (arrow).
,,,radiopaque part of the toothbrush is seen at the sternoclavicular joint level on plain x-ray (arrow).,contrast-enhanced computed tomography abdomen
,,,chest x-ray showing the double bubble after successful dilatation of the lower esophageal sphincter. red arrows indicate the presence of air in the colon. note the haustrations. black arrow indicates the presence of air in the stomach which appeared after dilatation.,computed tomography (ct) on admission showing subarachnoid hemorrhage.
,,,x-ray of schatzker-viiv fracture with patella fracture ap view,"areas with abnormal density on the computed tomography images. consolidation, homogeneous ground-glass opacity and reticulolinear shadows were scored as a ratio of the grid as follows: 0, normal; 1, abnormal area <1/4; 2, abnormal area ≥1/4 but <1/2; and 3, abnormal area ≥1/2."
,,,plain chest x-ray findings. dextrocardia was noted. no abnormality was observed in the lung field.,computed tomography of the abdomen with large left lobe mass with compression of the right lobe.
,,,"a chest x-ray showing moderate, right-sided pleural effusion.",cavitary lesion mimicking tuberculosis on chest computed tomography.
,,,upright posterior-anterior projection chest x-ray demonstrating diffuse reticular-nodular opacities in both lungs.,computed tomography of the brain showing hypodense regions in bilateral occipital lobes white matter extending into high parietal regions and frontal region suggestive of posterior reversible encephalopathy syndrome with dilated ventricular system
,,,postoperative x-ray: lateral view showing medial collateral ligament and triceps tendon reconstruction with radial head excision.,the emergent head computed tomography images showed that there were multiple low densities involving the bilateral parietal and frontal lobes
,,,"anteroposterior x-ray showing fixation failure of the subtalar implant at 7 months postoperatively.abbreviation: r, right foot.","computed tomography showing the pancreas (arrow) with trace amounts of surrounding fluid and peripancreatic fat stranding, suggestive of acute pancreatitis."
,,,initial chest. this initial chest x-ray shows an apparent cardiomegaly and pulmonary congestion. the cardiothoracic ratio was 0.64.,mass involving right ventricular sections. chest high-resolution computed tomography pulmonary angiography showing mass pertaining to the pericardium with intracardiac extension at level of anterior right ventricle wall causing occlusion of tricuspid valve (arrow).
,,,"a plain erect abdominal x-ray of case 2, showing right paraduodenal hernia. the opening of the fossae of waldeyer is marked by arrow a). small bowel loops are clustered to the right of the midline (marked by arrow b), in a well circumscribed hernial sac.","computed tomography angiogram, coronal reconstruction demonstrating aneurysmal dilatation of intraparenchymal renal artery branches. there is relative sparing of the superior renal pole arterial branches."
,,,"chest x-ray pa view demonstrating dextrocardia, situs solitus, cardiomegaly and decreased pulmonary vascular markings.abbreviations: pa, postero-anterior view; r, right side.",thoracic computed tomography scan. it shows dextrocardia and scars of previous pulmonary infections.
,,,"a chest x-ray on admission showed cardiomegaly, with a cardiothoracic ratio of 66%.",axial computed tomography image demonstrating suprapubic catheter in situ of small bowel and balloon inflated causing partial small bowel obstruction (white arrow). the bladder appears uninterrupted.
,,,x-ray of the right ankle on admission at 11 days of age,"contrast-enhanced axial computed tomography (ct) scan of the neck in end-inspiration with breath hold demonstrates atrophic left vocal cord, which is medialized (arrow), and is associated with glottic airway dilation (*)."
,,,posterior-anterior view of a chest x-ray film demonstrated a huge mass shadow in the left upper lung field.,"chest ct showing the lesion.abbreviation: ct, computed tomography."
,,,"chest x-ray after pericardiocentesis, with an evident left-sided, pleural effusion.",contrast-enhanced abdominal computed tomography shows a heterogeneously enhancing left adrenal mass (4.8 × 5.7 cm) with irregular internal tumor necrosis (white arrow). there was no abnormality in the right adrenal gland (not shown).
,,,ap lumbosacral x-rays s/p staged l3–s1 fusion. moderate degenerative sacroiliac joint changes noted on the right.,follow-up contrast-enhanced computed tomography shows almost complete tumor necrosis
,,,a chest x-ray demonstrating diffuse infiltrative shadows that almost completely disappeared after treatment.,preoperative computed tomography: presence of a well-defined multiloculated cystic mass in the body and tail of the pancreas with central calcifications.
,,,"on postadmission day 18, chest x-ray revealed a covered self-expanding esophageal stent (black arrows).",computed tomography showed an unevenly enhanced mass 10 cm in diameter in the patient's left upper abdomen.
,,,"chest x-ray done after operation, showing no evidence of morgagni's hernia.",computed tomography scan after four months in case 1. lesion found in the head of the pancreas (arrowhead).
,,,chest x-ray showing radiolucent shadow (arrow) in the superior mediastinum,computed tomography of the right thigh of case 1. a circumferential gas pattern was observed.
,,,hepatic venous blood samples were taken under guidance of x-rays.,computed tomography (ct) image of the lower abdomen. red arrow shows concentric wall thickening of the rectum and fat stranding of the perirectal fascia.
,,,postoperative x-ray following 1st stage revision.,computed tomography section of the patient showing calcification in basal ganglia region
,,,x-ray skull,"a chest computed tomography scan showing mass lesion in the right lower lung lobe (arrow), and bilateral proximal pulmonary embolism (pe)"
,,,x-ray chest after resolution of acute lung injury,chest computed tomography showed an enlarged thoracic aorta with an intramural thrombus at the level of the descending aorta. note that the distorted esophagus was displaced to the anterolateral aspect of the descending aorta (arrow).
,,,x-ray gastroduodenography with hydrosoluble iodated contrast medium introduced orally showing the diverticulum of the second part of the duodenum. demonstration of the small neck (large arrow) of the diverticulum. note that the diverticulum is partially distended by the contrast medium due to the presence of air inside the diverticular lumen (small arrows).,computed tomography scan of the chest showing the right atrial mass and pericardial effusion.
,,,x-ray of the chest – right-sided tension pneumothorax,"abdominal and pelvic computed tomography scan showed that the process extends over the hilar area with invasion of the right renal vein, while the lower vena cava is permeable"
,,,chest x-ray in the beginning (the third day) of disease influenza a/h1n1,"the patient underwent tracheostomy and percutaneous endoscopic gastrostomy tube placement. her neurological examination continued to improve. ultimately, the tracheostomy and the percutaneous endoscopic gastrostomy tubes were removed. she was kept in a crown halo vest for 6 weeks, followed by 6 weeks of rigid collar placement. during her 6-month follow-up visit, she was ambulating with a walker. her motor strength in her proximal upper extremities improved to + 4/5. her intrinsic hand function was 3/5 and she her speech was dysarthric. sagittal computed tomography of the cervical spine revealed complete healing of the fracture"
,,,figure 3: chest x-ray. three-year follow-up,coronal computed tomography of left-sided appendicitis
,,,"plain abdominal x-ray. radiolucent image in the upper left abdominal quadrant, showing the presence of air within the wall of the stomach (arrow).",computed tomography angiogram of the chest. a ct angiogram of the chest performed on hospital day one shows a large pleural fluid accumulation in the left pleural space (white arrowheads) with compressive atelectasis of the left lung as well as a pericardial effusion (black arrowheads). no pulmonary embolus was seen. the pleural fluid was later evacuated and found to be chylous.
,,,post-operative abdominal x-ray showing gas throughout the bowel and residual contrast in the descending colon.,"further resolution on computed tomography, 4 months post-illness."
,,,x-ray demonstrating deviation nasal septum to right.,computed tomography angiogram of the chest exhibiting a left atrial filling defect (asterisk). note the size of the rv in relation to the lv.
,,,"pelvic x-ray showing spina bifida oculta at l5, femoral epiphysis compressed on left sides.","non-contrast computed tomography scan of adrenal glands.ct scan of adrenal glands; white arrows indicate severely enlarged, hyperdense, adrenal glands bilaterally consistent with adrenal hemorrhage."
,,,chest x-ray showing dextrocardia with normal lung field,abdominal computed tomography. well enhancing mural nodule and wall calcification were noted.
,,,"chest x-ray, portable film notable for bilateral, patchy hilar infiltrates consistent with pulmonary edema in the setting of depressed ejection fraction",computed tomography scan of the chest without contrast before starting ipi/nivo. numerous pulmonary metastases can be seen.
,,,chest x-ray after two months edoxaban was restarted,regression in the size of the thrombus observed on the follow-up chest computed tomography scan
,,,anterior-posterior x-ray images of the right hip,brain computed tomography angiography. enhanced image. arrow indicates high attenuation in the left thalamus.
,,,preoperative chest x-ray showing a right-sided pleural effusion and an elevated right hemidiaphragm.,"patient 5: computed tomography scan of a 75-year-old woman showing right orbital phlegmon, orbital fat infiltration, and proptosis secondary to infected scleral buckle."
,,,an abdominal x-ray showing pneumatosis intestinalis in the ascending colon of patient 1.,computed tomography after injection of contrast medium from the prepubic sinus. white arrow indicates the sinus continuing near the anterior area of the bladder.
,,,"plain chest x-ray showing bilateral, subsegmental, linear, hyperdense pulmonary opacities, which are suggestive of glue embolization.","radiographic image of the indicators from the marking grid, which are seen externally to the patient, and needle trajectory as seen with axial ct imaging.abbreviation: ct, computed tomography."
,,,chest x-ray obtained at outside hospital shows pneumopericardium (white arrows). heart size is normal. no pneumothorax is present.,abdominal computed tomography scan showing a large retroperitoneal mass on the left side of the aorta with central necrotic component
,,,post-operative chest x-ray showing the normalized shape of diaphragm with left lung expanded significantly and right lung fully and the mediastinum shifted back to its normal midline position.,sagittal view of a chest computed tomography scan of a 63-yr-old-man with a giant fibrovascular polyp. a soft tissue lesion (arrow) in the esophagus from the level of the cervical esophagus extends to the level of the upper body of the stomach. the exact location of the polyp's origin is obscure. the dimension of the head (arrowhead) is about 8×5 cm in size. the central portion of the lesion shows attenuation identical to that of subcutaneous fat.
,,,abdominal x-ray showing fullness in the mid abdomen with laterally displaced ascending colon.,the computed tomography scan of the right eye showing a cyst covering a microphthalmic eye
,,,"chest x-ray, showing enlargement of the main pulmonary artery.","sagittal computed tomography scan showing an enlargement of t11 and t12 spinous processes, which suggests a ligament injury"
,,,chest x-ray on admission shows right pleural based homogenous shadow in middle and lower zones with obliteration of right costo-phrenic angle,abdominal computed tomography scan. the yellow arrow points to the wall thickening of the transverse colon.
,,,chest x-ray-posteroanterior: right sided pleural effusion,computed tomography showing the extensions of the lesion.
,,,chest x-ray,computed tomography scan of the chest showing right superior sulcus mass invading a vertebral body.
,,,x-ray of the hip showing thompson and epstein type iv posterior sprain of the left hip.,computed tomography shows the mass in the right temporal region with many calcified nodules and no erosion of the bone.
,,,the x-ray lumbosacral spine (ap view) was taken when the patient did not respond to bed rest and analgesics and was planned to be put on traction,"axial computed tomography scan of the chest, demonstrating near complete atelectasis of the left lung along with a loculated hydropneumothorax with multiple air pockets, suggestive of empyema."
,,,a closer view of the x-ray picture showing subcutaneous emphysema (white arrow),"computed tomography scan of the chest confirmed erosion of the lead through the pericardium and embedding into the intercostal/rib space. interestingly, no pleural or pericardial effusions, hemothorax, or pneumothorax were seen radiographically"
,,,x-ray of the right hand of a moroccan patient with an osteoblastoma of scaphoid of the carpus showing a demineralization of the scaphoid,computed tomography scan showing the upper glottis area free of any tumor.
,,,postoperative x-rays with l2 erosive changes,computed tomography slice showing a mass in the right axillary and subscapularis regions
,,,lateral x-ray of a columbus knee in maximum flexion: the remaining original posterior condyles do not contact the rim of the polyethylene inlay although there is already full contact of calf and tight. there is no instability or subluxation of the implant.,preoperative coronal computed tomography shows heterogeneity with calcification signs occupying the right sphenoid sinus with osteitis signs.
,,,chest x-ray pa view showed a well-circumscribed pleural mass centered at the left lung base.,"computed tomography scan of 69-year-old woman with mucinous carcinoma in descending colon.notes: computed tomography scan shows large mass with heterogeneous enhancement. hypoattenuated area is greater than two thirds of tumor, and enhancement in solid portion of tumor is less than that of normal bowel wall (arrow)."
,,,chest x-ray (during second hospitalization) shows a dramatic increase in bilateral opacities compared with previous cxr.,contrast enhanced computed tomography image of tumor compressing and displacing internal jugular vein.
,,,"plain abdominal x-ray after two days of medical treatment (rehydration, correction of electrolyte imbalance, and multiple enemas) showing enormous faecal impaction, although slightly reduced, still measuring 32 cm in length and 24 cm in width.",computed tomography of paranasal sinuses. axial projection. hipodensive masses in the posterior ethmoid and sphenoid sinuses with expansion to nasal cavities. partially pneumatised ethmoid cells are visible
,,,x-ray chest posteroanterior view showing a cystic mass lesion in the right upper zone extending outside the thoracic cage.,sagittal computed tomography image demonstrating esophageal mass arising from the cervical esophagus.
,,,preoperative abdominal x-ray.,computed tomography scan brain
,,,chest x-ray showing packed gauze to prevent mediastinal shifting.,"axial fdg-pet/ct image of a patient with nasopharyngeal undifferentiated carcinoma. the computed tomography gross tumor volume (ct-gtv) and the positron emission tomography (pet)-gtv are highlighted with red and light blue contours, respectively. for treatment purposes both findings were taken into account."
,,,pt no. 1. x-ray follow-up examination showing the final dental prosthetic rehabilitation,presurgical axial computed tomography showing well-encapsulated lesion
,,,postoperative x-rays: left ac joint stabilized with the synthetic ligament (lars lac®),brain computed tomography 3 days after lumbar surgery. numerous air density is shown in the convexity area.
,,,chest x-ray done elsewhere showing consolidation in right upper and middle lobes,computed tomography showed a round lesion 1 cm in length in the nasal vestibule (arrow). this mass contacted with the pyriform fossa edge in the right maxillary bone.
,,,"chest x-ray showing a community-acquired pneumonia due to a. pittii with a large pulmonary cavity of the right lower lobe, at hospital admission","computed tomography revealed the presence of a quasi-circular dense shadow originating from the gastric wall, indicating the presence of a calcification"
,,,calcified primary tumor (standard x-ray).,axial contrast enhanced computed tomography demonstrates intestinal pneumatosis (long black arrow).
,,,antero-posterior thoracic spine x-ray postoperatively showing extended th2–th11 laminectomy,computed tomography brain showing right caudate infarct (red arrow) and gross pneumocephalus.
,,,clinical case (patient gf). postoperative x-ray prior to hip spacer removal.,"ct cvj region bone window image sagittal reconstruction showing tip of the odontoid process ‘invaginated’ into the foramen magnum and was above the chamberlain line (longer line) and mcrae's line (shorter line) in basilar invagination. ct = computed tomography, cvj = craniovertebral junction"
,,,follow up chest x-ray shows volume loss of the right upper lobe with shift of the trachea to the right. the amplatzer plugs are seen in the right upper zone and are unchanged in position. an incidental air fluid level is noted within the hiatus hernia. the patient’s symptoms had resolved completely.,computed tomography scan of abdomen
,,,plain x-ray left anterior oblique view of the pelvis shows a radiopaque metallic foreign body (opened up safety pin) in the soft tissue plane antero-inferior to the pubic symphysis.,"follow‐up contrast‐enhanced computed tomography (ct) imaging at three months. the anterior mediastinal mass (arrows) also shows marked interval growth and heterogeneous enhancement with a marked hypervascular portion (asterisk). also the fat component within the tumor (arrowhead), which was not clear on baseline ct, is clearly demonstrated."
,,,pelvic and long bone x-ray showing bilateral fractures of femurs treated with bone plates and screws,computed tomography image showed enlargement of medial rectus muscle and proptosis in the right eye (bidirectional arrow).
,,,flat upright x-ray that shows normal chest and scoliosis in thoracolumbar region.,"sagittal computed tomography scan image of t12. diffuse presentation of t12 vertebrae, with narrow adjacent disc space."
,,,postoperative iopa x-rays of group ii at the end of 6 months,computed tomography scan showed a well-defined fluid attenuation lesion with broad base towards the mediastinum with few loculations.
,,,chest x-ray showing cardiomegaly with a bulge at the upper left cardiac border along with multiple calcified round to oval shadows (white arrows) within the cardiac silhouette.,ct of the thorax showing the mass lesion in the upper lobe of the right lungct - computed tomography.
,,,"second control chest x-ray in a patient after video-assisted thoracic surgery, taken after the patient was disconnected from the respirator",computed tomography demonstrated soft tissue density mass and air bubbles (black arrow) inside which suggested an aef around descending thoracic stent graft
,,,posterior anterior upright chest x-ray,enhanced computed tomography (ct) shows the presence of a cystic lesion in the tail of the pancreas.
,,,lateral x-ray of the left wrist three months post surgery,computed tomography scan with arrow head showing abdominal aortic aneurysm.
,,,preoperative radiographic view (panoramic x-ray image). implant of #37 area shows the broken abutment screw off the implant fixture inside.,computed tomography scan cervical spine showing c7 destruction with kyphosis
,,,abdomen simple x-ray shows improved hemimegacolon followed in the outpatient clinic.,contrast computed tomography of the upper abdomen demonstrated a non-enhanced lesion in the cardia of the stomach.
,,,"chest x-ray demonstrating bilateral pleural effusions, absence of left clavicle, and portion of the scapula, degeneration of head of humerus.",coronal computed tomography image of patient's neck showing extensive subcutaneous emphysema tracking toward the mediastinum (white arrows)
,,,x-ray of the chest region and abdomen showing absence of lower ribs on the left side and scoliosis.,contrast-enhanced computed tomography revealed a large mass (red arrow) in the left iliac vein and scattered calcification (blue arrow).
,,,posteroanterior chest x-ray showing a mild increase in cardiothoracic ratio.,case 2 - computed tomography demonstrates an intact and continuous cortex along with communication of the medullary cavities. limited invasion of the femoral medullar canal is also indicated (black arrow).
,,,lateral x-ray of the cervical spine in extension at 1-year follow-up. shows 2-level cervical disc replacement with movement at both levels.,coronal view of patient’s abdominopelvic computed tomography
,,,x-ray of ankle joint anteroposterior view showing fracture dislocation of ankle. it should be reduced promptly and postreduction radiographs should be obtained,axial section computed tomography scan demonstrating hyperdensity in the left sigmoid sinus.
,,,"bedside supine x-ray chest anterior-posterior view shows multiple inhomogeneous airspace opacities in the right lung mid zone and both side lower zones - likely aspiration pneumonitis. cardiac silhouette, pleural spaces, and soft tissues are normal",positron emission tomography–computed tomography scan of chest showing multiple pulmonary nodules.
,,,normal chest x-ray (cxr).,computed tomography (ct) scan showing intrathoracal displacement of two-thirds of the liver.
,,,"control chest x-ray, performed 10 days after the procedure, revealed no hemothorax and a satisfactory level of left lung ventilation","ct scan on admission. computed tomography on admission shows peripancreatic oedema, thickening of the gerota's fascia on the left side and at least two poorly defined fluid collections (in other cuts) corresponding to severe acute pancreatitis with balthazar grade e [21]."
,,,posteroanterior chest x-ray showed.,"a 60-year-old man with intermediate risk prostate cancer had cardiac disease and an internal defibrillator, which precluded magnetic resonance imaging for treatment planning. thus, he was treated with urethrogram-directed sbrt: treatment planning sagittal computed tomography urethrogram images demonstrating the prostate (red) and rectum (green) are shown. arrowhead marks the “beak” of the urethrogram. isodose lines shown as follows: 100% of the prescription dose (light blue line) and 50% of the prescription dose (dark blue line)."
,,,post-op bilateral pelvic x-ray showing the equally spaced broken shenton’s lines.,ct scan showing the presence of calcium deposits on the left buttock (same density as the femoral bone). ct = computed tomography.
,,,postoperative x-ray showing left total hip arthroplasty.,computed tomography revealed the capsular lesion including air density with a diameter of 5 cm between the posterior wall of the uterine body and the sigmoid colon.
,,,ap x-ray with the patient standing on one leg performed 10 years after acl reconstruction,"for positron emission tomography/computed tomography (pet/ct) examination, the patient was intravenously injected 402.93 mbq (10.89 mci) of f-18 fluorodeoxyglucose (f-18 fdg). after 90 minutes of uptake period, the patient was imaged using an integrated pet/ct camera (ge discovery ste 8, usa). in pet/ct images, there was no pathological fdg uptake suggesting malignancy at the spinal cord in thoracic region"
,,,figure 1: plain x-ray abdomen showing calcification in the region of pancreas (arrow),computed tomography of the abdomen: shows massive retroperitoneal cystic lesion occupying the right flank and iliac fossa
,,,x-ray of hands showing epiphyseal enlargement of the metacarpophalangeal and interphalangeal joints with juxta-articular osteopenia.,single photon emission computed tomography/computed tomography demonstrating a submandibular sentinel lymph node (red arrows) with its anatomical references in a patient (case 3) with melanoma of the conjunctiva.note: the white area indicates the original injection site.
,,,chest x-ray ap view showing expansion of both the lung fields with no mediastinal shift on postoperative period,computed tomography scan of the cerebrum indicates a fully calcified external auditory canal.
,,,x-ray of the right hip immediately following long gamma nail insertion.,a computed tomography image before surgical exploration shows a large homogeneous mass with fat tissue density and central contrast captation with trabecular architecture (white arrow).
,,,"multiple nodules and ground-glass opacities. the chest x-ray showed multiple nodules in the right upper lung field, and mixed ground-glass and airspace opacities in the entire right lung.",an axial computed tomography scan showed an avulsion fracture of the right occipital condyle (short arrow) associated with epidural hematoma (long arrow) between the bone fragment and dens of atlas.
,,,x-ray showed epr in a 65-years-old male with bone metastases of clear cell carcinoma of kidney.,bony window skull base reformed computed tomography scan
,,,"x-ray abdomen, erect, showing air under the diaphragm","abdominal contrast computed tomography revealed that a mass, approximately 7.0 cm in diameter (black arrows), was detected in the left inguinal region and the tumor involved the external iliac vein (white arrow)."
,,,"postoperative x-ray, demonstrating good bony contour, with reconstruction plates used for mandibular fixation, screws used for genioplasty and osseointegrated dental implants inserted primarily.","despite the vertical facet joint, spinal canal decompression could be completed. pre- (a) and postoperative computed tomography scans (b)"
,,,"the ldf dxa scan is analyzed for three regions of interest: region 1 (anterior distal metaphysis) is essentially trabecular bone, region 2 (metadiaphysis) is composed of both trabecular and cortical bone, region 3 (diaphysis) is composed primarily of cortical bone. there has been proximal femoral surgery with the distal end of the metal prosthesis visible above region 3. ldf dxa, lateral distal femur dual-energy x-ray absorptiometry; r1, region 1; r2, region 2; r3, region 3.",postoperative head computed tomography (ct) prior to discharge reveals a left sided craniectomy and cranioplasty procedure with resection of the tumor components both intracranial and extracranial. there has been resolution of mass effect and midline shift (arrow).
,,,"check x-ray (mr. shane guerin’s clinic, 2nd august 2013). worsening hip pain due to severe acetabular erosion.","abdominal computed tomography indicating a hepatic lesion with hyperdense walls, diffuse calcification, and foci of fat in the interior."
,,,preoperative chest x-ray,computed tomography scan showing mass with intra thoracic extension into the posterior mediastinum.
,,,chest x-ray 30 days after discharge,postoperative computed tomography images of patient
,,,x-ray both hands with wrists showing rachitic changes,computed tomography scan showing a densely calcified aorta measuring 5.9 cm.
,,,post op lateral x-ray showing fixation with 3.5mm screws.,computed tomography revealed thickening of the ileal wall and suggested intussusception (arrow).
,,,thorax x-ray,standard computed tomography of the chest depicting the lobulated posterior mediastinal portion of the crescent of abnormal paraspinal tissue as well as the fissural nodularity.
,,,a baby gram x-ray showing a severely distended abdomen with free intraperitoneal air in front of liver (black arrow) and umbilical artery catheter (right striped block arrow) and umbilical vein catheter (left block arrow) in situ. an endotracheal tube (notched block arrow) is noted in situ and both diaphragms are significantly elevated.,noncontrast computed tomography scan head bone window after initial head trauma
,,,chest x-ray showing extensive infiltrates and atelectasis of the right middle lobe in the right lung,an emergency brain angio-computed tomography (a-ct) evidenced thrombosis of the m2 tract of the right middle cerebral artery.
,,,"x-ray foot and ankle (lateral view) showing measured and assessed angles. b - böhler's angle (20-40°), g - gissane's angle (120-145°), tca – talocalcaneal angle (25-50°), tfma – talus first metatarsal angle (0 – 10°), cia – calcaneal inclination angle (20 – 25°)",computed tomography of the brain of patient b
,,,x-ray showing osteonecrosis of the humeral head and bone infarction in patient with sickle cell disease. reproduced from huo et al.(11) with the permission of the journal of biology and medicine,an image of a chest computed tomography scan with intravenous contrast shows filling defects in the branch of pulmonary artery.
,,,plain chest x-ray showing bilateral homogeneous opacification due to voluminous pleural effusion.,coronal reconstruction of computed tomography thorax showing the presence of the sequestrated lung tissue in the left lower lobe
,,,chest x-ray after inter-costal drainage,computed tomography scan after chemotherapy. complete regression of nasopharyngeal mass with cervical necrosis lymph nodes.
,,,plain x-ray of the abdomen showing needle close to left twelfth rib.,"a computed tomography of patient 2. large left polypoid mass eroding the medial and superior wall of the left orbit, touching the globe and extending into the sphenoid recess. bilateral frontal, maxillary, and sphenoidal sinusitis, and right ethmoidal sinusitis are seen. the right middle turbinate is what is left from a previous partial turbinectomy."
,,,"positive and lateral full spine x-ray before surgery. pi = 60°, pt = 30°, ss = 30°, ll = −20°, t5-t12 = −10°, sva = 75 mm. pi = pelvic incidence, pt = pelvic tilt, pt = pelvic tilt, ss = sacral slope, sva = sagittal vertical axis from c7 plumb line.","abdominal contrast computed tomography. the tip of the ileus tube stops at the origin of the obstruction. the site of the obstruction appears to be the hernial orifice and internal herniation of the small bowel is apparent past that point. a: ileus tube balloon, b: internal herniation of the small bowel."
